synset_id,also_see_id
37,2955
48,223
100,97
115,689
124,25452
1997,2109
2001,1961
2135,689
2141,7968
2151,2074
2226,27
2235,6902
2242,51
2248,351
2276,11029
2287,6547
2292,2294
2292,2295
2295,715
2299,45
2314,4423
2334,2335
2335,2334
2339,2262
2348,2347
2353,2347
2360,2458
2360,2461
2361,1590
2362,2626
2366,2357
2378,6934
2378,3466
2378,2379
2379,2378
2386,3723
2389,2390
2390,8097
2403,2722
2409,2406
2410,7017
2411,1323
2412,6494
2412,789
2417,172
2433,2301
2433,2422
2435,2439
2449,3424
2451,1130
2462,2232
2474,2271
2481,2327
2489,2493
2491,3975
2494,2500
2494,2427
2495,2521
2495,1481
2500,2290
2500,3662
2516,3233
2517,4533
2520,1324
2537,2302
2538,700
2547,2608
2547,4004
2548,2550
2548,2549
2550,2548
2552,2551
2552,5394
2562,5972
2579,2231
2582,8417
2582,2580
2594,5285
2603,4942
2608,2546
2608,4004
2613,1089
2622,4576
2626,2623
2637,3092
2640,13
2641,2640
2641,2638
2642,2640
2642,3298
2643,365
2645,2644
2645,2947
2663,4020
2677,1480
2678,6091
2687,2500
2688,3419
2697,1159
2700,2705
2702,4482
2702,3708
2705,10580
2707,2627
2707,2442
2720,12054
2746,2725
2748,2420
2748,2074
2769,8128
2779,2791
2781,6297
2782,4126
2822,6447
2823,1642
2831,5005
2841,4781
2844,2994
2847,1423
2850,3052
2851,3052
2856,8293
2859,3025
2864,3131
2865,2087
2947,2817
2964,3368
3001,8285
3002,3538
3013,3015
3167,7642
2849,66
3255,269
2981,422
2982,4890
2983,1188
3076,7991
3090,5677
2319,2136
3181,2330
3183,5293
1359,2960
3192,4441
3200,3696
3207,1145
3209,2690
3214,732
3217,3826
3313,373
3314,9967
3422,1166
3465,3427
3543,46
3545,3544
3573,8411
1092,2248
3595,4863
3611,2684
2924,7396
3703,1842
3710,2857
3709,2377
3704,1004
3705,20
3707,582
2441,3382
3719,3796
2443,2442
1355,7954
1369,2418
39,2755
42,2191
61,1950
88,86
114,3392
145,129
248,2941
326,302
327,309
351,1092
351,2248
448,3728
483,8482
493,47
539,298
542,2639
548,3423
578,298
549,3423
577,6168
671,10445
690,647
691,647
729,1008
764,9486
870,1427
937,9423
939,9423
1016,7750
1033,647
1034,1249
1039,4701
1076,26363
1108,3821
1114,91
1115,3605
1128,2994
1136,8006
1140,3051
1163,11671
1171,715
1193,2913
1228,20
1229,1728
1324,2941
1348,2994
1344,20934
1345,2985
1415,11188
1417,2427
1446,6167
1481,2119
1477,2119
1591,7954
1672,221
6565,2701
6565,4625
1675,6939
1774,4066
1817,5987
1825,4781
3028,1403
1214,10079
1335,2535
1356,121
1357,142
1473,890
2145,7546
1513,7434
2241,3064
2277,2800
1614,2340
1615,930
1619,3871
1463,1828
2336,2104
2381,3177
2383,1290
2383,5394
1150,1254
968,1296
967,2390
2422,2433
2423,7112
2506,22
2536,2538
2580,2582
2580,2576
2597,5751
2597,5756
1172,6011
2644,2947
2644,910
2646,2360
2646,3775
2648,2958
1173,4107
618,3481
2564,6196
2572,13358
619,620
619,2572
620,619
620,2572
3466,1414
3466,3111
2909,2908
2909,2899
2908,2909
2908,8684
2992,2991
2756,1188
2801,2105
2806,4999
2809,2338
2575,5048
860,845
2867,2239
2874,7954
1821,157
2930,1826
2950,2949
2952,2949
2966,3368
3011,3601
2989,3015
3043,623
1682,298
3089,3384
3151,2628
3127,2203
3164,19270
3166,2484
3189,7890
3190,7968
2149,7968
3199,3605
3206,2268
3212,19
3242,3133
3240,4922
3297,3294
3393,1002
3407,3530
3478,3538
3481,46
3541,3531
3540,4821
3542,3051
3556,3022
3569,1376
3571,3632
3577,1923
3578,7889
3599,6558
3653,9626
3658,3073
3660,170
3669,3918
26421,26420
3675,1166
3688,3622
3702,8264
3708,4616
3744,2614
3745,2817
3760,720
3774,2189
3797,2427
3801,8183
3809,3053
3810,3605
3837,3812
3863,44
3861,46
3866,1799
3917,7569
3927,3730
3932,3454
3946,3729
6191,425
3962,5303
4000,2433
26594,8588
4020,269
4056,4052
4060,4055
4029,4774
4133,3185
5159,8
4147,1786
4153,4152
4166,1691
4167,5488
4196,2451
4209,7434
4227,3257
4229,3656
4259,4352
4276,1403
4382,1142
4459,4458
4470,1817
4517,7061
4562,4034
4571,2942
4572,2942
4572,3056
4580,2022
4619,1450
4632,11064
4684,3735
266,2014
4789,4784
4790,6858
4798,4791
4799,4791
4469,3356
4804,2131
4808,4696
4834,7440
4854,7835
4855,1555
4867,3656
4869,7473
840,9783
701,91
4947,7172
4948,3043
5073,5065
5089,2426
5097,2387
5104,4264
5106,4264
5110,1439
1968,159
5428,5690
2006,7809
4529,73
4563,9315
4607,4609
5395,2551
5364,346
5204,6945
5519,5292
5534,3786
5644,27
5738,10723
5809,3107
1407,5572
1409,1684
1453,3993
5909,3975
5968,5937
5996,3134
6005,5060
6061,5983
6079,4226
6080,4226
6081,11237
6091,3367
4504,3092
4564,4568
6129,5643
6161,425
6161,8035
6175,8926
6175,2303
6188,1543
6190,425
6192,425
6217,1324
6219,2433
6219,3429
6220,282
6244,7440
6249,11064
6308,1166
6309,6009
6348,3871
6351,1235
6367,4160
6383,4287
6390,6389
6393,3064
6806,282
6878,858
6912,858
6929,7714
7011,9783
6742,3045
7087,2971
11106,6607
7411,8401
5793,644
5790,2535
5814,6463
6501,2087
6508,6506
6512,6721
6520,1436
6528,1768
6535,2025
6542,6506
6543,5772
6544,2549
6561,625
6600,109
6638,6639
6650,6639
6608,752
6625,7890
6770,3053
6774,1745
3929,4651
6846,8042
6853,471
6525,9722
6526,5268
6567,6539
6571,369
6881,3373
6870,3474
6851,11251
6868,965
6877,6875
6909,6898
6902,6616
6961,3608
7043,9550
6992,9550
7055,1166
7055,2837
7504,5939
7513,3152
7123,2182
7137,4781
7158,6810
7204,7201
7215,7247
7227,7078
50,223
7323,21463
7409,987
3112,2014
7973,521
7990,521
7602,6023
8017,8015
7866,1303
7173,7260
7704,3624
4336,1954
6662,2977
7695,3869
7695,10733
7699,3869
7702,8285
7716,8794
7935,1144
7946,2551
7953,4037
7380,2877
8008,3843
8024,5680
8025,4781
8034,96
8035,20
8056,1045
8055,1045
8133,10946
8189,10163
8211,822
8213,662
8214,662
8236,5799
8237,6585
8246,7448
8253,12099
8269,10147
8359,3356
9393,3818
9398,6042
9421,2716
9506,1282
9513,127
9514,923
8089,5987
9596,7171
8074,9587
8075,9587
8159,8006
8215,2035
8235,2929
8263,3623
9652,3460
9667,7434
9668,7444
7782,3857
9592,9686
9569,9683
9689,7435
9702,7494
9703,9698
9713,475
8081,2087
9765,4020
8373,8372
8374,8372
8381,1973
8388,3037
8404,2196
9792,1690
9785,1690
9821,3952
9831,1930
9867,7741
9876,4665
9895,7741
9902,905
9931,993
9937,10957
9923,10957
9946,6181
9952,9951
9953,9951
9977,737
8572,11725
8590,3826
8604,3952
8600,6988
8601,3581
5058,3581
8619,4110
8623,4181
8630,3069
8640,878
8667,1633
8684,4778
8723,5085
8736,10789
8739,220
8851,3119
8876,11206
10017,4034
10018,2526
10021,2936
10033,3624
10040,2963
10064,965
10091,3622
10096,3008
10098,10092
10099,2735
11000,9903
10174,2400
10213,6264
10225,183
10225,652
10251,3045
10258,1817
10268,2650
10271,1576
10302,9415
12127,624
10456,3356
10559,5093
10574,233
10620,628
768,1979
10676,3298
10718,1633
10736,3461
10782,1633
10793,5258
10807,7851
10815,19316
10912,10808
10922,2940
10932,1642
10937,12281
10983,6873
11048,5489
11075,5260
11101,346
11102,346
11111,3930
11115,3025
11119,10897
11133,290
11134,290
11138,3305
11320,7927
11321,7927
11342,10461
11347,6521
7004,2185
11379,1017
11527,10946
11680,12513
11688,4172
11689,4172
11692,2176
11693,1930
11749,141
11801,7745
11813,269
11827,3119
11908,2510
12068,1009
12083,12082
12084,12082
12124,5828
12190,7024
12252,6017
12264,3754
12271,46
12349,7406
12409,9426
12469,12468
12471,171
12472,171
12486,10062
12549,8119
12577,12580
12579,12580
12644,12641
12655,2939
12765,11528
12733,12734
12708,5114
3300,2605
3380,3562
3380,5573
5967,1723
3798,2985
6480,6479
11765,5882
7005,231
7366,117
7366,8239
7373,1282
7768,3381
7779,12890
7911,2755
7986,491
7986,3642
8448,2886
8448,2696
8518,2733
8595,8596
11228,5624
13116,593
13136,492
9121,476
5078,3044
13271,3044
5820,13283
13226,3387
6540,8039
6972,7440
6995,3171
6675,3171
5047,3171
9008,4570
9009,8655
9062,9970
9292,6653
10733,1685
13814,9341
13812,8562
13811,13810
13809,10837
13806,8814
13804,8757
13803,3975
13802,3037
13799,9039
13798,9598
13794,13793
13791,941
13788,13787
13780,13779
13777,9487
13774,13773
13772,9040
13769,9589
13767,13766
13761,9027
13760,8563
13758,13757
13749,13750
13747,8797
13746,13744
13743,13742
13741,9041
3873,3850
13738,13737
13734,8561
13730,1125
8946,12082
8959,2189
8966,8965
9013,272
13728,9332
13726,5342
13725,9042
13723,6108
12964,8741
9085,9084
13717,8510
13715,8202
13713,13712
13709,9315
9037,10792
9179,9167
13703,5924
13693,1897
13687,5880
13685,2037
13635,2260
13635,10733
13630,2125
13828,638
12801,1340
13626,3833
12847,12881
12862,7522
12863,7522
13604,26437
13832,3386
13603,8653
12897,7983
12884,13434
13834,9945
13833,290
13593,3605
13583,11798
13582,1671
13567,13568
12947,12946
12951,4945
12952,4945
13556,13555
13839,5267
13547,3728
13548,5267
13537,4398
180,8699
13484,9736
13483,3344
13482,3344
13855,3344
13856,5007
13051,13049
13052,13048
13445,2503
13444,8675
13089,13087
13418,531
13405,7867
13362,13360
13361,13360
13208,11671
13356,13355
13352,2578
9069,4226
9070,271
13325,13327
13324,2329
13304,13302
13300,13873
13295,13873
13288,2549
13282,3643
13278,3392
