synset_id,"synset_word",anto_amount_id,"anto_amount_word"
118,"अनेक",187,"एक"
2403,"अधिक",3092,"कम"
2637,"अत्यल्प",2090,"अत्यधिक"
3091,"अपर्याप्त",3413,"पर्याप्त"
3091,"नाकाफ़ी",3413,"काफ़ी"
3091,"नाकाफी",3413,"काफी"
3092,"अल्प",2403,"अधिक"
3092,"कम",2403,"अधिक"
3092,"थोड़ा",2403,"ज़्यादा"
187,"एक",118,"अनेक"
1703,"अल्पसंख्यक",2731,"बहुसंख्यक"
2731,"बहुसंख्यक",1703,"अल्पसंख्यक"
2731,"बहुसंख्य",1703,"अल्पसंख्य"
3413,"पर्याप्त",3091,"अपर्याप्त"
3413,"काफी",3091,"नाकाफी"
3413,"काफ़ी",3091,"नाकाफ़ी"
2090,"अत्यधिक",2637,"अत्यल्प"
4086,"न्यूनांशीय",28616,"अधिकांशीय"
4086,"थोड़ा",28616,"अधिक"
10813,"इतना",10834,"उतना"
10834,"उतना",10813,"इतना"
28616,"अधिकांशीय",4086,"न्यूनांशीय"
28616,"अधिक",4086,"थोड़ा"
