synset_id,"synset_word",anto_gender_id,"anto_gender_word"
2234,"सहमी",8378,"सहमा"
3026,"रूपवान",13226,"रूपवती"
3026,"रूपवंत",13226,"रूपवती"
3543,"आदरणीय",3481,"आदरणीया"
3543,"सम्माननीय",3481,"सम्माननीया"
3543,"मान्य",3481,"मान्या"
3543,"माननीय",3481,"माननीया"
3611,"परावलंबी",1028,"परावलंबिनी"
3611,"आश्रित",1028,"आश्रिता"
3611,"पराश्रयी",1028,"पराश्रयिता"
3687,"स्वावलंबी",1027,"स्वावलंबिनी"
209,"पूजनीय",618,"पूजनीया"
211,"पूजित",1419,"पूजिता"
247,"सत्यवादी",525,"सत्यवादिनी"
247,"सत्यभाषी",525,"सत्यभाषिणी"
525,"सत्यवादिनी",247,"सत्यवादी"
525,"सत्यभाषिणी",247,"सत्यभाषी"
541,"कोमलांगिनी",4527,"कोमलांग"
1027,"स्वावलंबिनी",3687,"स्वावलंबी"
1028,"परावलंबिनी",3611,"परावलंबी"
1337,"कर्कशा",2298,"कर्कश"
1337,"लड़ाकी",2298,"लड़ाका"
1419,"पूजिता",211,"पूजित"
1838,"सुलक्षण",10257,"सुलक्षणा"
1838,"सुलच्छन",10257,"सुलच्छना"
1420,"सच्चरित्रा",6564,"सच्चरित्र"
1420,"चरित्रवती",6564,"चरित्रवान"
1420,"शीलवती",6564,"सुशील"
1420,"सदाचारिणी",6564,"सदाचारी"
1616,"ग्रामवासिनी",4807,"ग्रामवासी"
1195,"बूढ़ी",1194,"बूढ़ा"
1195,"वृद्धा",1194,"वृद्ध"
1195,"बुड्ढी",1194,"बुड्ढा"
1195,"बुढ़िया",1194,"बूढ़ा"
1195,"बुज़ुर्गिन",1194,"बुज़ुर्ग"
618,"पूजनीया",209,"पूजनीय"
3481,"आदरणीया",3543,"आदरणीय"
3481,"सम्माननीया",3543,"सम्माननीय"
3481,"माननीया",3543,"माननीय"
3481,"मान्या",3543,"मान्य"
4155,"व्यभिचारिणी",2705,"व्यभिचारी"
4401,"अविवाहिता",2841,"अविवाहित"
4401,"अनब्याही",2841,"अनब्याहा"
4401,"कुँआरी",2841,"कुँआरा"
4401,"कुँवारी",2841,"कुँवारा"
6380,"नर",9779,"मादा"
6912,"मरदाना",6915,"जनाना"
6915,"जनाना",6912,"मरदाना"
6867,"पुत्रवती",6871,"पुत्रवान"
6867,"पुत्रवाली",6871,"पुत्रवाला"
6871,"पुत्रवान",6867,"पुत्रवती"
6871,"पुत्रवाला",6867,"पुत्रवाली"
9779,"मादा",6380,"नर"
10257,"सुलक्षणा",1838,"सुलक्षण"
10257,"सुलच्छना",1838,"सुलच्छन"
10566,"निपूती",12163,"निपूता"
10566,"निपूती",12163,"निपूत"
10566,"अपूती",12163,"अपूत"
10566,"विपुत्रा",12163,"विपुत्र"
11247,"विदुषी",1795,"विद्वान"
12163,"निपूता",10566,"निपूती"
13226,"रूपवती",3026,"रूपवान"
13226,"रूपवती",3026,"रूपवंत"
6564,"सच्चरित्र",13177,"दुश्चरित्रा"
6564,"चरित्रवान",13177,"दुराचारिणी"
13177,"दुश्चरित्रा",6564,"सच्चरित्र"
13177,"दुराचारिणी",6564,"चरित्रवान"
35275,"वरानना",35276,"वरानन"
35276,"वरानन",35275,"वरानना"
