synset_id,"synset_word",anto_personality_id,"anto_personality_word"
542,"अन्याय कर्ता",543,"न्याय कर्ता"
543,"न्याय कर्ता",542,"अन्याय कर्ता"
543,"न्यायी",542,"अन्यायी"
873,"अंतरप्रदेशीय",874,"अंतर्देशीय"
1027,"स्वावलंबिनी",1028,"परावलंबिनी"
1028,"परावलंबिनी",1027,"स्वावलंबिनी"
1078,"अनाश्रित",1047,"आश्रित"
1283,"छरहरा",1285,"माँसल"
1285,"माँसल",1283,"छरहरा"
3011,"आवेदक",33289,"अनावेदक"
3943,"जनाना",6878,"मरदाना"
3943,"औरताना",6878,"मरदाना"
3943,"स्त्रैण",6878,"पौरुषेय"
3943,"स्त्री-सम्बन्धी",6878,"पुरुष-संबंधी"
879,"सशस्त्र",6555,"निहत्था"
879,"शस्त्रधारी",6555,"शस्त्रहीन"
5422,"अनुज",7098,"अग्रज"
5422,"अनुजन्मा",7098,"अग्रजन्मा"
5422,"अनुजात",7098,"अग्रजात"
5422,"छोटा",7098,"बड़ा"
6878,"मरदाना",3943,"जनाना"
6878,"पुरुष-संबंधी",3943,"स्त्री-संबंधी"
6878,"पौरुषेय",3943,"स्त्रैण"
6889,"जनाना",6878,"मरदाना"
6889,"स्त्री-संबंधी",6878,"पुरुष-संबंधी"
6865,"इकहरा",9124,"दुहरा"
6865,"एकहरा",9124,"दोहरा"
8395,"सुलिखित",4788,"कुलिखित"
8487,"अवैतनिक",3917,"वैतनिक"
8806,"छिछला",4803,"गहरा"
8763,"चिकना",4138,"खुरदरा"
8763,"चिकना",4138,"खुरदुरा"
10484,"उत्तल",12154,"अवतल"
10484,"उन्नतोदर",12154,"नतोदर"
10878,"बाहरी",2098,"भीतरी"
11344,"निर्यातक",11346,"आयातक"
11346,"आयातक",11344,"निर्यातक"
8746,"सकर्मक",11658,"अकर्मक"
11658,"अकर्मक",8746,"सकर्मक"
11766,"प्रभावशाली",20603,"प्रभावहीन"
11792,"आस्तिक",11795,"नास्तिक"
11792,"ईश्वरवादी",11795,"अनीश्वरवादी"
11795,"नास्तिक",11792,"आस्तिक"
11795,"अनीश्वरवादी",11792,"ईश्वरवादी"
12154,"अवतल",10484,"उत्तल"
12154,"नतोदर",10484,"उन्नतोदर"
14910,"परगोत्री",21624,"सगोत्री"
14910,"अगोत्री",21624,"गोत्री"
14910,"अगोत्रज",21624,"गोत्रज"
14910,"अगोती",21624,"गोती"
14910,"अगोतिया",21624,"गोतिया"
14910,"परगोत्रीय",21624,"सगोत्रीय"
14910,"अगोत्रीय",21624,"गोत्रीय"
20607,"प्रश्नकर्त्ता",20608,"उत्तरदाता"
20607,"प्रश्न-कर्त्ता",20608,"उत्तर-दाता"
20607,"प्रश्न कर्त्ता",20608,"उत्तर दाता"
20608,"उत्तरदाता",20607,"प्रश्नकर्त्ता"
20608,"उत्तर-दाता",20607,"प्रश्न-कर्त्ता"
20608,"उत्तर दाता",20607,"प्रश्न कर्त्ता"
21624,"गोत्रीय",14910,"अगोत्रीय"
21624,"गोत्री",14910,"अगोत्री"
21624,"गोत्रज",14910,"अगोत्रज"
21624,"गोती",14910,"अगोती"
21624,"गोतिया",14910,"अगोतिया"
21624,"सगोत्री",14910,"परगोत्री"
21624,"सगोत्रीय",14910,"परगोत्रीय"
25486,"आरोही",31638,"अवरोही"
25486,"आरोहक",31638,"अवरोहक"
