synset_id,"synset_word",anto_state_id,"anto_state_word"
37,"पिताहीन",42,"माताहीन"
37,"पितृहीन",42,"मातृहीन"
37,"पितविहीन",42,"माताविहीन"
48,"अनाम",50,"नामक"
48,"बेनाम",50,"नामधारी"
83,"अनुत्तीर्ण",84,"उत्तीर्ण"
83,"फेल",84,"पास"
85,"अनुपस्थित",86,"उपस्थित"
85,"ग़ैरहाज़िर",86,"हाज़िर"
85,"गैरहाजिर",86,"हाजिर"
85,"ग़ैरमौज़ूद",86,"मौज़ूद"
85,"गैरमौजूद",86,"मौजूद"
87,"अवर्तमान",88,"वर्तमान"
122,"प्रतिरूपी",144,"भिन्नरूपी"
152,"एकताहीन",188,"एकतापूर्ण"
163,"मेरा",195,"तेरा"
163,"मेरा",2033,"आपका"
2114,"लुप्त",31239,"अलुप्त"
2129,"लीन",31229,"अलीन"
2129,"मग्न",31229,"अमग्न"
2129,"निमग्न",31229,"अनिमग्न"
2360,"श्रेष्ठ",32130,"अश्रेष्ठ"
2360,"उत्तम",32130,"अनुत्तम"
2386,"इंद्रियातीत",1150,"इंद्रियगम्य"
2386,"अगोचर",1150,"गोचर"
2386,"अप्रत्यक्ष",1150,"प्रत्यक्ष"
2433,"अविचल",1177,"चल"
2549,"नियत",2677,"अनियत"
2549,"निश्चित",2677,"अनिश्चित"
2627,"मृत",1354,"जीवित"
2627,"मुर्दा",1354,"जिंदा"
2634,"ऊँचा",12764,"नीचा"
2634,"उच्च",12764,"निम्न"
2775,"पराधीन",2830,"स्वाधीन"
2775,"अधीन",2830,"अनधीन"
2775,"ग़ुलाम",2830,"आज़ाद"
2827,"अन्धिकार",1812,"अधिकारपूर्वक"
2841,"अविवाहित",1825,"विवाहित"
2841,"अनब्याहा",1825,"ब्याहा"
2841,"कुँआरा",1825,"शादीशुदा"
2847,"रोगी",1831,"निरोगी"
2847,"रोगग्रस्त",1831,"निरोग"
2847,"अस्वस्थ",1831,"स्वस्थ"
2847,"बीमार",1831,"सेहतमंद"
2871,"अघटनीय",1853,"घटनीय"
2871,"अघट्य",1853,"घट्य"
2982,"यानहीन",3287,"यान आरूढ़"
2983,"रथहीन",2756,"रथ आरूढ़"
3111,"ताराविहीन",1473,"तारायुक्त"
3183,"शोकहीन",1485,"शोकपूर्ण"
3195,"असफल",3208,"सफल"
3195,"नाकामयाब",3208,"कामयाब"
3196,"पराजित",2327,"अपराजित"
3196,"पराजित",11228,"विजित"
1990,"अपंग",194,"अनपंग"
3268,"अपारित",3561,"पारित"
2830,"स्वाधीन",2775,"पराधीन"
2830,"आज़ाद",2775,"ग़ुलाम"
2830,"स्वतंत्र",2775,"परतंत्र"
3353,"उन्मुक्त",3642,"आबद्ध"
3371,"दुखी",3478,"सुखी"
197,"दूसरे का",162,"निजी"
197,"पराया",162,"अपना"
197,"परकीय",162,"स्वकीय"
3420,"अशारीरिक",9166,"शारीरिक"
3464,"प्रसिद्ध",2262,"अप्रसिद्ध"
3464,"ख्यात",2262,"अख्यात"
1831,"स्वस्थ",2847,"अस्वस्थ"
1831,"निरोगी",2847,"रोगी"
188,"एकतापूर्ण",152,"एकताहीन"
5365,"अवश्य",5366,"वश्य"
42,"माताहीन",37,"पिताहीन"
42,"मातृहीन",37,"पितृहीन"
42,"माताविहीन",37,"पिताविहीन"
84,"उत्तीर्ण",83,"अनुत्तीर्ण"
84,"पास",83,"फेल"
86,"उपस्थित",85,"अनुपस्थित"
86,"हाज़िर",85,"ग़ैरहाज़िर"
86,"हाजिर",85,"गैरहाजिर"
86,"मौज़ूद",85,"ग़ैरमौज़ूद"
86,"मौजूद",85,"गैरमौजूद"
101,"भुक्तभोगी",102,"अभुक्तभोगी"
102,"अभुक्तभोगी",101,"भुक्तभोगी"
116,"प्रवृत्तिहीन",115,"प्रवृत्तिशील"
162,"निजी",197,"दूसरे का"
162,"अपना",197,"पराया"
162,"स्वकीय",197,"परकीय"
193,"विकल्पहीन",158,"वैकल्पिक"
194,"अनपंग",1990,"अपंग"
549,"आनंदपूर्ण",1485,"शोकपूर्ण"
576,"अनपेक्षित",1348,"अपेक्षित"
664,"आशावान",3810,"आशाहीन"
663,"आशंकित",669,"अनाशंकित"
669,"अनाशंकित",663,"आशंकित"
767,"अधिकारहीन",1810,"अधिकारपूर्ण"
820,"एकत्रित",821,"बिखरा"
821,"बिखरा",820,"एकत्रित"
900,"ज्ञानपूर्ण",5967,"अज्ञानपूर्ण"
900,"ज्ञानपूर्ण",5967,"ज्ञानहीन"
934,"आरंभिक",2079,"अंतिम"
934,"शुरूआती",2079,"आखिरी"
1004,"व्यवस्थित",60,"अव्यवस्थित"
1014,"प्रयुक्त",4531,"अप्रयुक्त"
1014,"इस्तेमालशुदा",4531,"नाइस्तेमालशुदा"
1014,"व्यवहृत",4531,"अव्यवहृत"
1014,"उपभुक्त",4531,"अनुपभुक्त"
1097,"अगोपनीय",2221,"गोपनीय"
1349,"चिंतित",2435,"निश्चिंत"
1349,"चिन्तायुक्त",2435,"चिंतारहित"
1349,"चिंताग्रस्त",2435,"चिंताहीन"
1480,"अनिर्धारित",2549,"निर्धारित"
1480,"अनिश्चित",2549,"निश्चित"
1481,"दुविधाजनक",1477,"दुविधाहीन"
1481,"दुबिधाजनक",1477,"दुबिधाहीन"
1481,"संशयात्मक",1477,"संशयहीन"
1485,"शोकपूर्ण",3183,"शोकहीन"
1485,"शोकपूर्ण",549,"आनंदपूर्ण"
1555,"गरम",2597,"ठंडा"
1555,"उष्ण",2597,"अनुष्ण"
1825,"विवाहित",2841,"अविवाहित"
1825,"ब्याहा",2841,"अनब्याहा"
1825,"शादीशुदा",2841,"कुँआरा"
1335,"पत्तीदार",5790,"पर्णरहित"
1335,"पर्णी",5790,"अपर्णी"
1473,"तारायुक्त",3111,"ताराहीन"
1194,"वृद्ध",5589,"युवा"
1194,"बूढ़ा",5589,"जवान"
1150,"इंद्रियगम्य",2386,"इंद्रियातीत"
1150,"गोचर",2386,"अगोचर"
4244,"नीचा",1680,"ऊँचा"
4244,"निम्न",1680,"उच्च"
4244,"अनुन्नत",1680,"उन्नत"
1682,"लोहित",31267,"लोहित"
3702,"रक्षित",27745,"अरक्षित"
3702,"संरक्षित",27745,"असंरक्षित"
3810,"आशाहीन",664,"आशापूर्ण"
3810,"आशाहीन",664,"आशावान"
3917,"वैतनिक",8487,"अवैतनिक"
4003,"ठोस",6265,"द्रव"
4050,"कनिष्ठ",23513,"वरिष्ठ"
4463,"श्रवणीय",4457,"अश्रवणीय"
4463,"श्रव्य",4457,"अश्रव्य"
4457,"अश्रव्य",4463,"श्रव्य"
4457,"अश्रवणीय",4463,"श्रवणीय"
4483,"उत्पादित",22588,"अनुत्पादित"
4571,"क्षमा दाता",4572,"क्षमा याचक"
4572,"क्षमा याचक",4571,"क्षमा दाता"
4572,"क्षमा प्रार्थी",4571,"क्षमा कर्ता"
4871,"अवैध",5781,"वैध"
4531,"अप्रयुक्त",1014,"प्रयुक्त"
4531,"अव्यवहृत",1014,"व्यवहृत"
4531,"नाइस्तमालशुदा",1014,"इस्तमालशुदा"
4531,"अनुपभुक्त",1014,"उपभुक्त"
4532,"अभुक्त",8699,"भुक्त"
5476,"उत्पादक",35461,"अनुत्पादक"
5366,"वश्य",5365,"अवश्य"
5204,"प्रचलित",28,"अप्रचलित"
5163,"चयनित",28892,"अचयनित"
5163,"चयित",28892,"अचयित"
5606,"उत्साहपूर्ण",2233,"उत्साहहीन"
6010,"तीव्र",6317,"मंद"
6010,"तेज",6317,"धीमा"
6020,"आलस्यहीन",2231,"आलसी"
4504,"न्यूनतम",10351,"अधिकतम"
5884,"पतला",6727,"गाढ़ा"
6727,"गाढ़ा",5884,"पतला"
6265,"तरल",4003,"ठोस"
6265,"द्रव",4003,"ठोस"
6317,"धीमा",6010,"तेज"
6317,"मंद",6010,"तीव्र"
6375,"ताज़ा",1479,"बासी"
6375,"टटका",1479,"बसिया"
6489,"पक्षपातहीन",11106,"पक्षपातपूर्ण"
6489,"भेदभावहीन",11106,"भेदभावपूर्ण"
11106,"पक्षपातपूर्ण",6489,"पक्षपातहीन"
11106,"भेदभावपूर्ण",6489,"भेदभावहीन"
5793,"शाखाहीन",1330,"शाखायुक्त"
5793,"अशाखित",1330,"प्रशाखित"
5790,"अपर्णी",1335,"पर्णी"
6542,"निर्णित",7163,"अनिर्णित"
6821,"संतोषजनक",6683,"असंतोषजनक"
6821,"संतोषप्रद",6683,"असंतोषप्रद"
6683,"असंतोषजनक",6821,"संतोषजनक"
6683,"असंतोषप्रद",6821,"संतोषप्रद"
7037,"फुटकर",6977,"थोक"
6977,"थोक",7037,"फुटकर"
7160,"अव्यस्त",8029,"व्यस्त"
8029,"व्यस्त",7160,"अव्यस्त"
7163,"अनिर्णीत",6542,"निर्णीत"
50,"नामक",48,"बेनाम"
50,"नामधारी",48,"नामहीन"
7695,"बाढ़ग्रस्त",13635,"सूखाग्रस्त"
7098,"अग्रज",5422,"अनुज"
7098,"अग्रजन्मा",5422,"अनुजन्मा"
7098,"अग्रजात",5422,"अनुजात"
5740,"टेढ़ा",8240,"सीधा"
8159,"विवादित",9289,"अविवादित"
8159,"विवादास्पद",9289,"अविवादास्पद"
9735,"मनोगत",29067,"अमनोगत"
516,"निरावासित",1291,"आवासित"
516,"उजड़ा",1291,"आबाद"
10351,"अधिकतम",4504,"न्यूनतम"
10392,"अप्रभावित",10820,"प्रभावित"
10405,"अराजपत्रित",12135,"राजपत्रित"
12135,"राजपत्रित",10405,"अराजपत्रित"
10416,"अवचेतन",2594,"चेतन"
10436,"असांप्रदायिक",10215,"सांप्रदायिक"
666,"पिलपिला",11712,"कड़ा"
666,"गुलगुला",11712,"कड़ा"
666,"पिलपिल",11712,"कड़ा"
666,"पिलपिला",11712,"सख्त"
666,"गुलगुला",11712,"सख्त"
666,"पिलपिल",11712,"सख्त"
10615,"सकारात्मक",3903,"नकारात्मक"
10615,"स्वीकारात्मक",3903,"अस्वीकारात्मक"
3903,"नकारात्मक",10615,"सकारात्मक"
3903,"अस्वीकारात्मक",10615,"स्वीकारात्मक"
768,"कवचधारी",12215,"कवचहीन"
7099,"ज्येष्ठ",5422,"अनुज"
7099,"ज्येष्ठ",5422,"कनिष्ठ"
7099,"बड़ा",5422,"छोटा"
10708,"अधिकृत",15364,"अनधिकृत"
10741,"परिवारयुक्त",2294,"परिवारहीन"
10741,"कुटुंबयुक्त",2294,"कुटुंबहीन"
10820,"प्रभावित",10392,"अप्रभावित"
980,"अनारक्षित",3701,"आरक्षित"
11688,"सुरक्षित",34799,"असुरक्षित"
11712,"कड़ा",6382,"नरम"
11712,"कठोर",6382,"मुलायम"
6382,"मुलायम",11712,"कठोर"
6382,"नरम",11712,"कड़ा"
12764,"नीचा",2634,"ऊँचा"
12764,"निम्न",2634,"उच्च"
12763,"नीचा",1680,"ऊँचा"
5967,"ज्ञानहीन",900,"ज्ञानपूर्ण"
11228,"विजित",2327,"अविजित"
11228,"विजित",3196,"पराजित"
6540,"संदेहहीन",12842,"संदेहपूर्ण"
13651,"आबंटित",24546,"अनाबंटित"
13645,"जीर्ण",2482,"अजीर्ण"
13645,"जर्जर",2482,"अजर्जर"
13635,"सूखाग्रस्त",7695,"बाढ़ग्रस्त"
13629,"प्रधान",1996,"अप्रधान"
12842,"संदेहपूर्ण",6540,"संदेहहीन"
13167,"निष्क्रिय",4829,"सक्रिय"
13167,"निष्क्रिय",4829,"क्रियाशील"
13167,"असक्रिय",4829,"सक्रिय"
4577,"अशांतिपूर्ण",8055,"शांतिपूर्ण"
4954,"मूक",29331,"अमूक"
9289,"अविवादित",8159,"विवादित"
9289,"अविवादास्पद",8159,"विवादास्पद"
4829,"सक्रिय",13167,"निष्क्रिय"
4829,"क्रियाशील",13167,"निष्क्रिय"
4829,"सक्रिय",13167,"असक्रिय"
10363,"अनौपचारिक",3941,"औपचारिक"
3941,"औपचारिक",10363,"अनौपचारिक"
12215,"कवचहीन",768,"कवचधारी"
12216,"कवचधारी",12217,"कवचहीन"
12216,"कवचयुक्त",12217,"कवचहीन"
12216,"आवरणयुक्त",12217,"आवरणहीन"
12217,"कवचहीन",12216,"कवचयुक्त"
12217,"आवरणहीन",12216,"आवरणयुक्त"
14297,"रतौंधिया",19768,"दिनौंधा"
14658,"अक्रिय",4829,"सक्रिय"
14658,"क्रियारहित",4829,"क्रियाशील"
14658,"क्रियाहीन",4829,"क्रियाशील"
14750,"अखेद",2819,"खेद"
14977,"अचोट",593,"चोट"
15364,"अनधिकृत",10708,"अधिकृत"
15510,"असहमत",13246,"सहमत"
15510,"असम्मत",13246,"सम्मत"
15995,"अनग्न",3187,"नग्न"
16625,"अप्राप्य",30930,"प्राप्य"
16625,"अनाप्य",30930,"आप्य"
17405,"अनुच्छिन्न",17404,"छिन्न"
17405,"अनकटा",17404,"कटा"
17405,"अखंडित",17404,"खंडित"
17404,"कटा",17405,"अनकटा"
17404,"छिन्न",17405,"अनुच्छिन्न"
17404,"खंडित",17405,"अखंडित"
19707,"आशाजनक",19708,"निराशाजनक"
