synset_id,modifies_noun_id
22,196
21,196
23,1998
25,196
26,196
27,196
35,196
36,748
37,196
38,196
48,748
83,196
85,196
100,196
113,196
115,196
122,923
124,923
118,923
118,689
118,652
152,196
158,689
160,748
163,183
163,387
164,11814
167,183
167,387
168,923
169,183
169,387
1945,196
1946,11814
1947,923
1948,923
1982,923
1996,387
1997,923
2000,387
2001,1998
2002,387
2039,183
2040,387
2040,12149
2041,1585
2069,923
2104,689
2104,1973
2112,923
2112,1998
2112,183
2112,652
2113,387
2114,1998
2115,923
2129,196
2130,923
2130,1998
2136,387
2137,387
2137,12149
2138,387
2138,12149
2139,1998
2141,689
2150,923
2150,652
2150,12149
2151,652
2151,73
2160,748
2162,183
2175,1973
2175,2025
2212,183
2213,923
2214,196
2219,1585
2220,387
2220,12149
2226,196
2230,196
2231,196
2233,748
2235,923
2236,387
2237,7908
2237,652
2242,2968
2247,923
2248,689
2253,387
2253,12149
2254,387
2254,689
2255,183
2256,748
2257,689
2257,2968
2262,387
2263,196
2264,387
2264,183
2265,196
2271,196
2272,196
2276,923
2276,12149
2278,387
2279,196
2280,1998
2280,923
2285,196
2286,387
2287,196
2288,183
2288,652
2288,73
2289,196
2290,387
2290,12149
2291,1998
2291,923
2292,748
2293,1973
2294,748
2295,196
2298,196
2299,196
2302,12149
2302,652
2302,923
2312,748
2313,923
2314,196
2315,183
2316,878
2316,689
2334,923
2335,20
2339,196
2344,878
2344,12149
2347,5828
2348,923
2348,6326
2350,201
2350,99
2351,3259
2352,923
2353,923
2353,6326
2356,196
2358,1957
2359,12149
2360,196
2360,923
2361,878
2361,3345
2362,878
2362,3345
2362,2968
2366,748
2378,1585
2379,7607
2379,923
2386,923
2389,923
2389,196
2390,923
2390,748
2403,923
2403,1998
2403,12149
2403,652
2409,196
2409,2022
2410,127
2411,2968
2411,1758
2412,1758
2415,2551
2417,196
2418,196
2418,689
2419,923
2419,652
2419,12149
2424,387
2425,3558
2433,923
2434,689
2434,2968
2435,196
2436,3874
2436,7607
2437,3874
2438,196
2438,689
2439,196
2444,196
2448,923
1470,923
2449,689
2449,1973
2449,4352
2450,387
2451,923
2451,1998
2451,7770
2452,689
2452,905
2453,689
2453,923
2454,923
2455,923
2455,689
2456,689
2456,923
2457,923
2457,689
2457,196
2458,196
2460,923
2460,689
2462,196
2474,196
2474,3562
2474,1209
2475,196
2481,196
2481,47
2481,2087
2482,1961
2483,196
2483,2484
2483,3525
2489,1998
2489,923
2489,12149
2489,652
2490,196
2491,196
2492,923
2493,923
2493,7607
2494,923
2494,2968
2495,196
2497,652
2499,923
2500,923
2500,748
2500,6956
2503,4422
2503,605
2505,2958
2515,196
2516,748
2517,196
2520,196
2521,1585
2521,7607
2537,5828
2537,6431
2538,7607
2538,3874
2539,689
2539,7606
2546,387
2547,2934
2547,7553
2548,2968
2549,183
2550,2968
2552,1998
2560,923
2561,923
2562,3019
2562,2968
2562,689
2563,689
2574,923
2574,196
2579,196
2579,5307
2581,196
2582,196
2594,1998
2595,748
2595,652
2596,196
2600,7608
2600,923
2601,923
2603,748
2607,3108
2608,923
2608,7553
2608,3874
2608,7607
2609,689
2609,6936
2609,923
2609,196
2613,196
2618,196
2622,923
2622,1998
2623,878
2626,689
2626,2968
2626,905
2627,1998
2629,196
2633,2074
2633,196
2634,387
2634,12149
2637,923
2640,196
2641,196
2642,748
2643,3325
2645,196
2651,689
2651,196
2658,748
2662,689
2663,652
2672,3826
2672,3052
2674,7606
2677,878
2678,196
2679,196
2680,1897
2680,47
2681,923
2681,7607
2682,2186
2682,2196
2685,923
2686,923
2686,3282
2687,7908
2688,923
2688,1627
2688,1998
2696,12149
2696,625
2697,662
2698,196
2700,196
2701,196
2702,689
2702,196
2703,196
2704,196
2705,196
2707,748
2708,2325
2718,196
2720,2183
2721,923
2744,196
2745,196
2746,6264
2747,196
2748,196
2769,3345
2770,923
2773,196
2774,196
2775,748
2779,196
2780,196
2781,196
2782,196
2786,4422
2788,689
2816,1585
2822,923
2822,5489
2823,923
2823,689
2825,923
2825,196
2831,923
2831,196
2831,47
2832,923
2832,196
2836,689
2836,2934
2837,196
2839,6538
2841,196
2844,196
2846,196
2847,196
2850,923
2851,923
2852,196
2852,923
2853,196
2856,662
2858,1585
2859,1585
2862,923
2864,689
2865,1998
2866,1585
2871,2968
172,196
179,923
2947,196
2948,196
2964,196
3001,689
3002,183
3002,73
3026,3259
3026,12149
3026,652
3013,689
29,748
3167,923
1989,47
1989,1897
2976,923
2976,3530
2976,689
2849,196
3255,196
2981,748
2982,196
2983,196
3064,923
3066,689
3066,2968
3072,923
2632,923
2632,652
23872,387
23872,652
23872,12149
3076,923
3076,1973
3083,196
3090,387
3090,12149
3090,652
3091,923
3092,878
3092,846
3093,923
3093,12149
3094,5828
3095,196
3102,196
3111,2176
2319,923
3179,923
3180,923
3180,196
3180,689
3181,4037
3183,748
3183,878
3186,387
3186,183
3187,196
1359,923
1359,12149
2414,689
3194,689
3195,196
3196,196
3196,1627
3200,6765
3200,5489
3200,196
3207,196
161,3645
1918,923
3210,2968
3209,2954
3211,81
3211,680
1990,748
3214,1423
3217,196
1217,387
3267,923
3267,652
32578,196
3268,3345
3269,923
3244,923
3244,12149
2079,387
2079,12149
3313,878
3313,2968
3314,923
3314,12149
3351,748
2830,748
2830,4821
3353,748
3371,748
166,183
166,923
197,183
197,923
3420,1897
3422,196
2923,1585
3450,387
3464,387
3465,196
3465,183
3467,748
3468,1998
3468,923
2,183
3668,1998
26424,923
26424,1973
26445,387
26445,689
3543,196
3545,689
3545,196
3572,196
3573,196
1092,183
3595,689
3595,196
3595,923
3611,196
3687,196
2249,196
2924,196
2461,196
3703,196
3710,196
3709,196
3704,923
1914,923
1914,652
1914,12149
3713,196
3714,923
1831,748
3715,196
1832,923
3705,1830
3716,20
3706,1830
3706,1973
3706,3735
3707,923
3707,689
2442,923
2440,196
2441,1998
3719,196
2443,923
1355,1249
3078,923
3079,387
188,183
2328,923
2328,1627
3349,923
1366,923
1370,689
1370,4352
1368,196
1368,183
1369,923
1369,196
1354,1998
1007,183
1007,5583
3331,2934
3750,387
5365,387
28,387
1,47
8,1998
3,196
3,923
7,196
30,196
31,196
33,748
39,196
41,196
42,748
43,196
60,387
60,183
61,196
84,196
86,196
88,878
101,196
102,196
114,196
145,3345
140,11814
144,923
162,923
198,387
199,387
199,183
187,387
187,12149
187,652
192,196
192,923
192,3282
193,183
194,748
195,387
195,183
202,196
209,387
211,2484
211,196
247,196
248,196
248,2968
249,387
249,652
249,183
265,5948
323,748
325,196
325,748
326,196
327,689
328,196
328,10729
329,689
348,923
349,689
350,196
351,689
365,923
364,923
366,271
417,923
417,748
447,628
448,628
483,3833
493,923
493,689
517,1998
517,923
518,689
518,923
518,652
520,196
525,2954
522,923
530,196
540,923
539,748
541,2954
542,196
543,196
544,196
545,748
547,387
560,748
548,689
548,923
548,652
548,12149
578,652
578,689
549,689
549,652
577,689
550,923
550,183
579,689
579,652
579,196
579,923
580,20
576,689
576,2968
645,2349
646,2349
656,748
657,748
667,923
668,1998
665,196
664,196
663,748
669,748
670,196
671,73
671,689
671,196
690,1961
691,748
699,12149
700,183
717,183
716,196
729,689
729,1585
767,196
767,10729
764,387
764,12149
764,652
766,387
766,652
766,12149
765,12149
765,652
765,387
790,183
788,1585
789,12149
789,923
797,183
820,387
821,923
832,196
28672,7252
834,196
835,689
836,689
867,387
868,7766
866,196
869,387
870,387
870,183
872,387
872,183
873,387
873,183
874,923
893,923
898,183
899,689
900,1585
919,387
918,387
934,652
934,689
935,387
936,12149
937,1973
938,923
938,183
939,1973
941,387
941,12149
941,652
959,3860
959,1423
960,3860
960,1423
970,923
970,73
970,183
969,923
969,73
969,183
983,748
981,387
981,183
981,652
1004,12149
1004,923
1014,923
1015,923
1016,81
1016,680
1027,2954
1028,2954
1033,923
1034,2022
1039,196
1047,1249
1047,923
1049,196
1076,923
1076,652
1077,2022
1078,196
1087,183
1088,1249
1095,1585
1096,12149
1096,387
1096,692
1097,689
1105,196
1107,748
1108,748
1109,196
1110,196
1112,387
1112,1585
1113,923
1113,689
1114,689
1115,7908
1119,689
1125,387
1125,12149
1125,73
1125,652
1126,748
1127,475
1128,196
1129,689
1129,12149
1129,652
1129,73
1130,923
1130,689
1131,689
1132,387
1132,183
1132,652
1133,387
1133,12149
1133,652
1134,387
1134,10729
1136,183
1136,12014
1136,923
1138,196
1139,387
1139,12149
1140,196
1141,1249
1143,387
1143,12149
1122,196
1122,923
1122,3282
1149,196
1156,1998
1157,689
1159,923
1160,11814
1161,196
1164,73
1164,183
1158,2176
1163,387
1168,387
1169,196
1171,196
1175,923
1176,748
1177,923
1178,923
1180,923
1181,923
1167,387
1189,923
1192,183
1193,652
1193,387
1193,183
1228,923
1229,196
1247,6326
1248,6326
1248,923
1253,196
1254,387
1255,387
1256,923
1259,1957
1266,923
1266,196
1283,196
1285,1961
1284,196
1288,748
1445,748
1289,923
1291,1973
1296,387
1324,196
1323,196
1326,923
1327,183
1328,1973
1328,923
1329,196
1331,748
1334,748
1339,923
1338,923
1337,2954
1336,196
