synset_id,"link_type","tbl_name","description"
1,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
30168,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
7,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
8,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
10,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
21,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
22,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
23,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
25,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
26,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
27,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
28,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
29,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
30,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
31,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
32,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
33,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
35,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
36,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
37,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
38,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
39,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
41,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
42,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
43,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
48,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
50,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
60,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
61,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
83,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
84,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
85,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
86,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
88,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
90,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
100,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
101,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
102,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
112,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
113,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
114,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
115,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
118,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
122,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
124,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
126,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
140,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
144,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
145,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
152,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
155,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
158,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
160,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
160,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
161,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
162,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
164,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
166,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
167,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
168,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
169,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
172,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
179,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
180,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
180,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
187,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
188,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
190,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
192,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
193,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
