synset_id,"synset_word",anto_time_id,"anto_time_word"
2785,"वर्तमान में",3640,"भविष्य में"
2785,"वर्तमान में",3641,"अतीत में"
1586,"विलंबतः",2620,"अविलंबतः"
1586,"अशीघ्रतः",2620,"शीघ्रतः"
3640,"भविष्य में",3641,"भूत में"
3640,"भविष्य में",2785,"वर्तमान में"
3641,"अतीत में",3640,"भविष्य में"
3641,"भूत में",3640,"भविष्य में"
3641,"भूत काल में",3640,"भविष्य काल में"
22207,"कल",22208,"कल"
22208,"कल",22207,"कल"
22209,"परसों",22210,"परसों"
22210,"परसों",22209,"परसों"
22211,"नरसों",22212,"नरसों"
22211,"अतरसों",22212,"अतरसों"
22211,"तरसों",22212,"तरसों"
22212,"नरसों",22211,"नरसों"
22212,"अतरसों",22211,"अतरसों"
22212,"तरसों",22211,"तरसों"
32399,"इस वर्ष",34481,"गत-वर्ष"
32399,"इस वर्ष",34481,"गतवर्ष"
32399,"इस साल",34481,"इस साल"
34481,"गत-वर्ष",32399,"इस वर्ष"
34481,"गतवर्ष",32399,"इस वर्ष"
34481,"पिछले साल",32399,"इस साल"
