synset_id,"link_type","tbl_name","description"
51,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
52,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
53,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
123,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
373,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
374,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
524,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
526,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
527,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
528,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
529,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
559,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
594,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
595,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
596,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
22207,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
796,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
833,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
853,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
854,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
855,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
857,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
892,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
896,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
929,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1026,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1093,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1117,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1118,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1121,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1170,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1179,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1207,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1208,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1241,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1262,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1263,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1267,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1268,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1358,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1374,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1447,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1451,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
