synset_id,"synset_word",anto_gender_id,"anto_gender_word"
80,"छोटा भाई",1626,"छोटी बहन"
80,"अनुज",1626,"अनुजा"
1870,"धोबी",1871,"धोबिन"
1870,"धोबी",1871,"धोबन"
1870,"बरेठा",1871,"बरेठिन"
1870,"उजला",1871,"उजली"
1870,"",10695,"धोबिन"
1870,"",10695,"धोबन"
1870,"",10695,"बरेठिन"
1999,"नायक",532,"नायिका"
1999,"हीरो",532,"हीरोइन"
1999,"प्रधान पात्र",532,"प्रधान पात्रा"
2038,"दल नायिका",2753,"दल नायक"
2155,"प्रधानाचार्य",3634,"प्रधानाचार्या"
2155,"प्रधान आचार्य",3634,"प्रधान आचार्या"
2191,"माता",2955,"पिता"
2191,"माँ",2955,"बाप"
2191,"माई",2955,"बाप"
2191,"जननी",2955,"जनक"
2191,"जन्मदात्री",2955,"जन्मदाता"
2204,"पंडुक",12754,"पंडुकी"
2216,"ऊँटनी",28549,"ऊँट"
2216,"उष्ट्रिका",28549,"उष्ट्र"
2216,"उष्ट्री",28549,"उष्ट्र"
2370,"गृहपति",3936,"गृहपत्नी"
2486,"बकरी",2476,"बकरा"
2486,"अजा",2476,"अज"
2486,"छागली",2476,"छागल"
2486,"छगली",2476,"छगल"
2487,"भेड़",2477,"भेड़ा"
2571,"सम्राट पत्नी",2759,"सम्राट"
2571,"सम्राज्ञी",2759,"सम्राट"
28524,"सूअर",20313,"सूअरी"
28524,"शूकर",20313,"शूकरी"
28524,"सुअर",20313,"सुअरी"
28524,"वराह",20313,"वराही"
28524,"वाराह",20313,"वाराही"
1382,"चकोरी",1381,"चकोर"
2753,"दल नायक",2038,"दल नायिका"
1381,"चकोर",1382,"चकोरी"
2758,"राजा",1744,"रानी"
2759,"सम्राट",2571,"सम्राट पत्नी"
2759,"सम्राट",2828,"सम्राज्ञी"
1278,"तोती",29598,"तोता"
1278,"सुग्गी",29598,"सुग्गा"
2861,"ममेरा भाई",683,"ममेरी बहन"
2803,"अध्यापक",1793,"अध्यापिका"
2803,"शिक्षक",1793,"शिक्षिका"
2803,"आचार्य",1793,"आचार्या"
2954,"महिला",858,"पुरुष"
2954,"स्त्री",858,"पुरुष"
2954,"औरत",858,"आदमी"
2954,"औरत",858,"मर्द"
2954,"नारी",858,"नर"
2954,"नार",858,"नर"
2484,"देवता",1046,"देवी"
3057,"पत्नी",3342,"पति"
3057,"औरत",3342,"मर्द"
3057,"स्त्री",3342,"पुरुष"
3057,"घरवाली",3342,"घरवाला"
3057,"बीवी",3342,"मियाँ"
3057,"वधू",3342,"वर"
3101,"नवयुवक",3416,"नवयुवती"
3101,"नवयुवा",3416,"नवयौवना"
3165,"राक्षस",8049,"राक्षसी"
3165,"निशाचर",8049,"निशाचरी"
3319,"धर्म शिक्षक",3637,"धर्म शिक्षिका"
3373,"पुत्र",3646,"पुत्री"
3373,"बेटा",3646,"बेटी"
3373,"बेटा",3646,"बिटिया"
3373,"नंदन",3646,"नंदिनी"
3373,"बच्चा",3646,"बच्ची"
3373,"तनय",3646,"तनया"
3373,"तनुज",3646,"तनुजा"
3373,"अंगज",3646,"अंगजा"
3373,"किशोर",3646,"किशोरी"
3373,"आत्मज",3646,"आत्मजा"
3373,"सुत",3646,"सुता"
2955,"पिता",2191,"माता"
2955,"बाप",2191,"माँ"
2955,"बाप",2191,"माई"
2955,"जनक",2191,"जननी"
2955,"जन्मदाता",2191,"जन्मदात्री"
3550,"ससुर",7231,"सास"
3602,"थैला",1814,"थैली"
3602,"झोला",1814,"झोली"
1046,"देवी",2484,"देवता"
