synset_id,"synset_word",anto_place_id,"anto_place_word"
1907,"स्वदेश",6707,"परदेश"
4,"पवित्र स्थान",6,"अपवित्र स्थान"
2504,"जड़ जगत",1429,"चेतन जगत"
290,"थल",1930,"जल"
451,"देव मंदिर",455,"देवी मंदिर"
455,"देवी मंदिर",451,"देव मंदिर"
455,"देवीथान",451,"देवथान"
865,"स्त्री जननेंद्रिय",3724,"पुरुष जननेंद्रिय"
887,"कल्पित स्थान",886,"वास्तविक स्थान"
886,"वास्तविक स्थान",887,"कल्पित स्थान"
1022,"अग्रभाग",1023,"पश्चभाग"
1022,"अग्र भाग",1023,"पश्च भाग"
1023,"पश्च भाग",1022,"अग्र भाग"
1265,"अगवाड़ा",9445,"पिछवाड़ा"
1429,"चेतन जगत",2504,"जड़ जगत"
1494,"अप्राकृतिक स्थान",1493,"प्राकृतिक स्थान"
1493,"प्राकृतिक स्थान",1494,"अप्राकृतिक स्थान"
5039,"ढाल",27081,"चढ़ाई"
5039,"उतार",27081,"चढ़ाई"
5039,"ढलान",27081,"चढ़ाई"
5039,"ढलाव",27081,"चढ़ाव"
6381,"नरक",6980,"स्वर्ग"
7040,"स्वर्ग",1011,"नरक"
6980,"स्वर्ग",6381,"नरक"
10483,"उत्तरी गोलार्द्ध",12152,"दक्षिणी गोलार्द्ध"
12152,"दक्षिणी गोलार्द्ध",10483,"उत्तरी गोलार्द्ध"
12152,"दक्षिणी गोलार्ध",10483,"उत्तरी गोलार्ध"
6,"अपवित्र स्थान",4,"पवित्र स्थान"
6,"अपूण्य भूमि",4,"पुण्य भूमि"
15532,"जिह्वाग्र",15534,"जिह्वामूल"
15534,"जिह्वामूल",15532,"जिह्वाग्र"
27070,"यहाँ",27071,"वहाँ"
27071,"वहाँ",27070,"यहाँ"
27081,"चढ़ाई",5039,"ढाल"
27081,"चढ़ाई",5039,"उतार"
27081,"चढ़ाई",5039,"ढलान"
27081,"चढ़ाव",5039,"ढलाव"
30473,"सुदेश",30475,"भदेस"
30475,"भदेस",30473,"सुदेश"
