synset_id,"synset_word",anto_quality_id,"anto_quality_word"
11,"दुश्चरित्रता",16,"सच्चरित्रता"
44,"अपमान",46,"सम्मान"
65,"संगतता",77,"असंगतता"
121,"स्नेह",143,"विरक्ति"
130,"अनूदित कृति",146,"मौलिक कृति"
156,"परजन",191,"स्वजन"
1917,"शुद्ध",2417,"पापी"
1918,"शुद्ध",249,"खोटा"
1924,"निर्दयी व्यक्ति",1940,"सहृदय व्यक्ति"
1963,"अवकाश",430,"अनावकाश"
1989,"अंगहीन",2002,"साकार"
1990,"अंगहीन",502,"सर्वांग"
2005,"अंगीकृत",550,"असहमति प्राप्त"
2037,"प्रकाश",2164,"अंधकार"
2097,"अंतरिंद्रिय",862,"बहिरिंद्रिय"
2097,"आंतरिक इंद्रिय",862,"बाह्य इंद्रिय"
2127,"ईमानदारी",1727,"बेईमानी"
2221,"अकथ्य",1097,"अगोपनीय"
2249,"अकाम",1127,"आसक्त"
2250,"अकाम",1128,"इच्छावान"
2251,"अकाम",2700,"कामुक"
2252,"अकाय",2001,"शरीरी"
2282,"अकृत",1158,"घटित"
2301,"अगति",1177,"गतिशील"
2303,"अक्रूर",1179,"दयाहीन"
2304,"अक्लिष्ट",1180,"अपठनीय"
2305,"अक्लिष्ट",1181,"अबोद्ध्य"
2328,"अक्षुण्ण",1219,"विभक्त"
2405,"अग्रगामी",1266,"पश्चगामी"
2414,"अघट",1327,"संभव"
2416,"अघाया",2633,"अतृप्त"
2420,"अचंचल",1331,"चंचल"
2421,"अचंचल",1332,"अधैर्यशील"
2422,"अचंचल",1333,"चलायमान"
2423,"अचंचल",1334,"असंयमी"
2440,"अचेत",2596,"सावधान"
2442,"अचेतन",1354,"जीवित"
2443,"अचेतन",1355,"चेतन"
2502,"कुपथ्याहार",8172,"सुपथ्याहार"
2506,"अज्ञ",1430,"व्यवहार कुशल"
2541,"अटकाना",1473,"तोड़ना"
2597,"अतप्त",1555,"उष्ण"
2631,"अतुल्य",1598,"तुलनीय"
2632,"अतुल्य",1599,"सदृश"
2648,"अट्रस्त",1610,"डरपोक"
2692,"सौमनस्य",2578,"वैमनस्य"
2695,"अद्वैतवाद",1669,"द्वैतवाद"
2734,"योग्यता",2979,"अयोग्यता"
2751,"लाभ",2246,"हानि"
2751,"नफा",2246,"घाटा"
2751,"फ़ायदा",2246,"नुक़सान"
2751,"मुनाफ़ा",2246,"नुक़सान"
2785,"अधुना",1772,"भविष्य में"
2806,"अध्ययेता",1796,"ध्यानहीन"
2830,"अनधीन",2775,"पराधीन"
2840,"अनबोल",1824,"वाचाल"
2842,"अमहत्वाकांक्षा",1826,"महत्वाकांक्षा"
2843,"इच्छाहीनता",1827,"इच्छापूर्णता"
2849,"अनमेल",1834,"सामंजस्यपूर्ण"
182,"कुवचन",2935,"सुवचन"
