synset_id,"synset_word",anto_time_id,"anto_time_word"
1965,"दिन",2025,"रात"
1965,"दिवस",2025,"रात्रि"
2025,"रात",1965,"दिन"
2025,"रात्रि",1965,"दिवस"
2091,"मृत्यु काल",851,"जन्म काल"
2578,"शत्रुता",720,"मित्रता"
2578,"दुश्मनी",720,"दोस्ती"
2578,"विरोध",720,"मेल"
2599,"परसों",1742,"परसों"
2784,"वर्तमान काल",1771,"भूत काल"
2784,"वर्तमान काल",1589,"भविष्य काल"
3352,"आज",632,"कल"
629,"अमावस्या",630,"पूर्णिमा"
632,"कल",617,"कल"
632,"कल",3352,"आज"
841,"पुण्य तिथि",20527,"जन्म तिथि"
841,"पुण्य दिवस",20527,"जन्म दिवस"
841,"मृत्यु दिवस",20527,"जन्म दिवस"
851,"जन्म काल",2091,"मृत्यु काल"
1031,"अँधेरी रात",1032,"उजली रात"
1032,"उजली रात",1031,"अँधेरी रात"
2258,"अकाल",31693,"सुकाल"
2258,"दुर्भिक्ष",31693,"सुभिक्ष"
1742,"परसों",2599,"परसों"
617,"कल",632,"कल"
617,"कल",3352,"आज"
914,"कृष्ण पक्ष",924,"शुक्ल पक्ष"
914,"अँधेरा पक्ष",924,"उजला पक्ष"
914,"बदी",924,"सुदी"
924,"शुक्ल पक्ष",914,"कृष्ण पक्ष"
924,"उजला पक्ष",914,"अँधेरा पक्ष"
924,"सुदी",914,"बदी"
3655,"आधुनिकता",3447,"प्राचीनता"
3655,"अर्वाचीनता",3447,"प्राचीनता"
3655,"आधुनिक कालीनता",3447,"प्राचीन कालीनता"
3886,"प्रभात काल",8164,"सायंकाल"
3886,"सुबह",8164,"शाम"
3886,"प्रातः",8164,"सायं"
8164,"शाम",3886,"सुबह"
8164,"सायंकाल",3886,"प्रभात काल"
8249,"जाड़ा",4859,"गर्मी"
8249,"शीत काल",4859,"ग्रीष्म काल"
12116,"सूर्यास्त",12117,"सूर्योदय"
12117,"सूर्योदय",12116,"सूर्यास्त"
8656,"दुर्दिन",12879,"सुदिन"
8656,"बुरा दिन",12879,"अच्छा दिन"
12879,"सुदिन",8656,"दुर्दिन"
12879,"अच्छा दिन",8656,"बुरा दिन"
19013,"बचपन",19015,"बुढ़ापा"
20527,"जन्म दिवस",841,"पुण्य दिवस"
20527,"जन्म तिथि",841,"पुण्य तिथि"
20527,"जन्म दिवस",841,"मृत्यु दिवस"
28926,"उत्तरायण",28933,"दक्षिणायन"
28933,"दक्षिणायन",28926,"उत्तरायण"
31693,"सुकाल",2258,"अकाल"
31693,"सुभिक्ष",2258,"दुर्भिक्ष"
