synset_id,attributes_id
2063,6608
2210,5757
2216,6191
2320,249
2709,2705
1279,7993
423,6762
635,7993
1411,6191
725,7993
1683,2552
1683,2642
2163,6535
4441,8054
946,249
2876,2874
6082,29
4668,2552
9966,7993
6019,2552
11199,3102
6749,7523
6858,6265
6858,5047
7508,5037
7228,20562
9228,6351
8716,1133
7301,6727
7318,754
7382,6561
7420,4714
7401,1296
7497,4714
7447,4714
7521,2006
7542,6727
7549,2552
8021,4684
7833,7173
7824,7173
7783,1479
7492,7993
7647,7523
7653,5109
7654,5109
7654,3043
9800,5109
7682,7523
7838,10443
7980,1825
8319,11712
9684,7993
9688,4634
9807,5542
8834,7523
8909,7993
10115,12102
7498,7993
10418,2856
11644,7523
12075,4402
12131,6859
12253,1088
12270,12340
12288,2390
12388,6351
12412,4601
12419,7993
12421,4962
12457,3043
7396,4147
7396,1915
12480,11813
12754,7993
12613,9378
12619,1825
12828,2283
6064,820
5936,6306
7805,249
9002,8806
8974,7993
9014,9013
12404,4714
12807,9441
12808,9441
12808,6265
12816,4913
12853,2627
12940,6727
12955,9713
12973,13849
13854,1781
13866,1781
13867,1782
13266,4854
13926,13927
9307,13927
9193,5644
13933,13849
13933,13848
9232,4714
4979,12351
4976,12351
7434,9166
12666,1916
10122,3524
8528,1946
6681,9497
3410,9124
12662,3043
14208,6995
14209,6995
14310,1840
14442,14443
14485,1088
14551,1133
14585,1133
14593,7993
14594,7993
14611,4854
14631,1088
14664,5396
14679,5047
14708,5757
14731,1088
14772,7523
14790,4787
14823,3043
14946,5396
14951,4854
15067,5396
15091,5757
15455,5396
15582,5396
15592,1133
15613,3422
15924,7993
15960,3043
16120,6638
16157,1088
16163,4714
16324,2552
16429,5178
16531,5047
16581,5757
16640,4601
16977,5757
17004,3043
17014,8054
17044,4946
17050,4854
17109,6351
17113,7946
17282,2552
17286,2552
17523,6638
17599,7993
17623,7173
17696,5047
17700,1088
17779,6638
17822,7993
17827,12127
17844,7993
17883,5047
17908,1132
17908,6308
17923,5395
17941,8304
17980,7946
18233,5757
18237,2552
18262,3642
18355,5396
18389,5757
18404,7523
18570,2552
18595,2006
18633,6265
18881,6638
18884,9196
18955,4714
18975,4714
18984,6382
18994,11072
18995,2390
19017,4854
19046,3673
19132,7946
19342,2642
19453,7173
19503,5703
19989,2552
20561,20562
20701,14443
20821,6638
21239,17181
21240,17181
21241,17181
21295,4684
21365,1088
21365,7946
21436,6351
21672,7993
21688,5757
21712,6351
21713,6351
21740,6638
21741,17181
21742,17181
21783,1574
21814,12340
21815,17181
21882,6638
21883,5757
21921,21922
21955,4684
21985,1088
22131,10566
22134,12163
22151,646
22157,4946
22398,7993
22445,1088
22446,1088
22449,1088
22456,1088
22552,5744
22578,7523
22653,6859
22695,29
22719,5396
22729,5396
22807,22805
22806,22805
23034,15434
23030,18412
23118,2640
23118,2641
23429,3595
23542,6638
23588,5047
23686,5757
23742,867
23880,6772
23886,5423
24035,5757
24035,1296
24044,16073
24296,4340
24360,24392
25090,7946
25091,6638
25488,4684
25494,4684
25496,25498
25533,15554
25541,1825
25567,14217
25571,18680
25596,13051
25596,13052
25660,7523
25758,7946
25798,9441
25810,21922
26278,24392
26460,20409
26485,12486
26486,12486
26524,2703
26549,7158
27231,7582
27539,1296
27709,3838
28011,26455
28014,13208
28037,788
28236,7523
28319,20089
28607,1132
28759,1680
28783,9652
28858,4714
28874,3469
28907,10588
28939,8024
29029,2283
29032,2698
29058,3389
29086,13270
29101,22235
29208,4021
29240,5395
29240,4684
29293,2138
29328,3464
29329,2356
29295,2806
29295,1795
29666,1296
30643,2698
30645,30646
30657,4684
30687,26609
30687,3744
30698,2552
30718,6571
31086,5396
31179,5047
31298,2652
32105,5047
32546,7158
32674,5396
32754,5047
32990,11191
32992,3043
33010,2362
33090,4626
32994,3585
33104,1661
33111,874
33147,1132
33175,12340
33212,2175
33239,13848
33272,3379
33314,6561
33671,8024
33863,30132
33913,4904
33932,6265
33937,2552
33954,9378
34054,3932
34054,5223
34058,3585
34069,14640
34078,8959
34081,249
34083,26602
34084,26601
34115,20974
34188,4854
34189,4854
34230,9228
34231,4601
34361,2642
34404,1112
34432,4634
34639,28711
34657,12068
34697,1680
34720,4530
34975,2452
35016,1288
35183,7817
35277,2489
35278,1480
35330,1661
35352,34766
35352,5047
35354,3595
35572,13405
35573,13405
35574,13405
