synset_id,"synset_word",compound_id,"compound_word"
2636,"इत्र व्यापारी",2598,"इत्र"
2636,"इत्र व्यापारी",1602,"व्यापारी"
698,"क्षीरसागर",425,"क्षीर"
698,"क्षीरसागर",2650,"सागर"
2625,"अस्रुर वध",3165,"असुर"
2625,"",4034,"वध"
773,"गोरू चोर",1623,"गोरू"
773,"मवेशी चोर",5294,"चोर"
773,"",1623,"मवेशी"
773,"",5294,"चोर"
2699,"अधम पुरुष",2698,"अधम"
2699,"",858,"पुरुष"
772,"त्वचा रोग",5174,"त्वचा"
772,"त्वचा रोग",1423,"रोग"
945,"कल्पित जीव",249,"कल्पित"
945,"कल्पित जीव",1998,"जीव"
3148,"रजत पात्र",5186,"रजत"
3148,"रजत पात्र",3475,"पात्र"
3148,"चाँदी बरतन",5186,"चाँदी"
3148,"चाँदी बरतन",3475,"बरतन"
3619,"धर्म स्थान",1166,"धर्म"
3619,"धर्म स्थान",1973,"स्थान"
7860,"गोहत्या",4441,"गो"
7860,"गोहत्या",4034,"हत्या"
6239,"देवर्षि",2484,"देव"
6239,"देवर्षि",3907,"ऋषि"
6241,"देवकन्या",2484,"देव"
6241,"देवकन्या",3646,"कन्या"
6241,"देव पुत्री",2484,"देव"
6241,"देव पुत्री",3646,"पुत्री"
6254,"दौड़ प्रतियोगिता",6255,"दौड़"
6254,"",5706,"प्रतियोगिता"
6301,"खनिज पदार्थ",11078,"खनिज"
6301,"खनिज पदार्थ",744,"पदार्थ"
6419,"भिक्षापात्र",7417,"भिक्षा"
6419,"भिक्षापात्र",3475,"पात्र"
6447,"नागकन्या",1797,"नाग"
6447,"नागकन्या",3646,"कन्या"
6786,"पुष्पवृष्टि",4422,"पुष्प"
6786,"पुष्पवृष्टि",10060,"वृष्टि"
6786,"पुष्पवर्षा",4422,"पुष्प"
6786,"पुष्पवर्षा",10060,"वर्षा"
6537,"पदचिन्ह",2019,"पद"
6537,"पदचिन्ह",1929,"चिन्ह"
7292,"देवमानव",2484,"देव"
7292,"देवमानव",3389,"मानव"
7068,"बाँसुरी वादक",370,"बाँसुरी"
7068,"बाँसुरी वादक",1318,"वादक"
7508,"पालतू पक्षी",5037,"पालतू"
7508,"पालतू पक्षी",2063,"पक्षी"
7756,"तीर्थ यात्रा",6007,"तीर्थ"
7756,"तीर्थ यात्रा",3285,"यात्रा"
5774,"कर्णाभूषण",987,"कर्ण"
5774,"कर्णाभूषण",3068,"आभूषण"
9722,"मताधिकार",7512,"मत"
9722,"मताधिकार",2732,"अधिकार"
9728,"मधुशर्करा",8047,"मधु"
9728,"मधुशर्करा",5247,"शर्करा"
9795,"अल्पाहार",3092,"अल्प"
9795,"अल्पाहार",1830,"आहार"
8837,"जयमाल",5624,"जय"
8837,"जयमाला",1206,"माल"
8837,"",5624,"जय"
8837,"",1206,"माला"
8838,"वरमाला",6205,"वर"
8838,"वरमाला",1206,"माला"
10019,"वसंतोत्सव",7172,"वसंत"
10019,"वसंतोत्सव",3793,"उत्सव"
10322,"हारजीत",679,"हार"
10322,"हारजीत",5624,"जीत"
10460,"आयात-कर",10461,"आयात"
10460,"आयात-कर",4107,"कर"
10505,"मुख्यन्यायाधीश",2000,"मुख्य"
10505,"मुख्यन्यायाधीश",1647,"न्यायाधीश"
10538,"कार्यानुभव",689,"कार्य"
10538,"कार्यानुभव",97,"अनुभव"
10549,"खाद्य मंत्री",1228,"खाद्य"
10549,"खाद्य मंत्री",7488,"मंत्री"
10554,"ग्रामीण विद्यालय",4808,"ग्रामीण"
10554,"ग्रामीण विद्यालय",1698,"विद्यालय"
10571,"जनगणना",189,"जन"
10571,"जनगणना",4824,"गणना"
10609,"भू-दृश्य",2510,"भू"
10609,"भू-दृश्य",1864,"दृश्य"
10971,"शेयर बाज़ार",10970,"शेयर"
10971,"शेयर बाज़ार",5303,"बाज़ार"
12268,"रामलीला",10801,"राम"
12268,"",4201,"लीला"
6488,"हस्ताभूषण",491,"हस्त"
6488,"हस्ताभूषण",3068,"आभूषण"
6064,"जमापूँजी",820,"जमा"
6064,"जमापूँजी",6894,"पूँजी"
13190,"हस्त-मैथुन",13322,"हस्त"
13190,"हस्त-मैथुन",12087,"मैथुन"
9114,"दीर्घजीवन",6181,"दीर्घ"
9114,"दीर्घजीवन",5583,"जीवन"
9362,"पत्रव्यवहार",5218,"पत्र"
9161,"देशत्याग",7440,"देश"
9161,"देशत्याग",6042,"त्याग"
9171,"आयकर",3308,"आय"
9171,"आयकर",4107,"कर"
9194,"धर्मोपदेश",1166,"धर्म"
9194,"धर्मोपदेश",3812,"उपदेश"
9250,"नाट्यकला",5938,"नाट्य"
9250,"नाट्यकला",1642,"कला"
21875,"कंठाभूषण",5076,"कंठ"
21875,"कंठाभूषण",3068,"आभूषण"
21876,"पदाभूषण",422,"पद"
21876,"पदाभूषण",3068,"आभूषण"
