synset_id,holo_member_collection_id
208,1902
6295,1905
9658,1905
4496,1905
6338,1905
6337,1905
315,1934
313,1934
314,1934
316,1934
5665,5
454,5
4273,2133
2182,2176
512,2176
7774,2329
3558,2329
512,2338
1249,2551
1930,2650
148,2661
1647,2673
7956,2726
1901,2767
1698,2767
3328,2767
3265,2767
4491,3005
1868,3005
1869,3005
3389,2225
3288,3477
1249,3534
196,189
363,206
362,206
361,206
360,206
359,206
358,206
357,206
356,206
355,206
354,206
353,206
352,206
890,207
3045,215
217,216
232,231
233,232
1925,259
1051,281
3014,281
1052,281
1053,281
1054,281
1055,281
1056,281
1057,281
3171,307
705,313
2883,314
5044,315
706,315
707,315
711,316
709,316
708,316
710,316
11787,401
411,401
5974,399
4286,399
463,458
464,459
425,698
3191,735
3507,735
189,921
4422,1205
1201,1204
5676,1203
1198,1202
3191,1220
3226,1219
1188,1223
1220,1224
1219,1224
1218,1224
1223,1224
1201,1231
6692,1231
4980,1231
278,1231
1733,1231
1734,1231
1735,1231
1736,1231
1883,1231
4758,1233
1534,1535
1533,1535
4508,1665
1747,1693
7476,1693
1748,1693
1749,1693
1750,1693
1751,1693
3921,1693
3288,1486
1249,783
4508,1090
2902,2944
4352,5001
4352,5002
1607,157
3735,2629
4352,3007
1715,3831
7522,3915
4441,4001
3773,4079
6693,4352
1930,4384
1930,4430
4097,4774
189,4821
196,5499
189,5482
4508,5471
189,5461
5457,5456
1623,5264
1930,5515
196,5529
5049,5734
7774,5746
231,8401
24513,5989
3759,6048
5391,6048
1474,6048
4430,6050
4722,6067
13930,6098
9291,6098
196,6122
7252,6138
2330,6182
923,6187
1930,6282
6406,7440
196,7813
4651,6819
8217,6585
4495,6757
19,7251
4430,7656
7774,7748
1690,7954
3905,7954
11206,7328
7553,9507
271,9590
9609,9669
7488,9697
890,9700
4273,8450
4982,8450
1930,8452
1665,8456
8577,8456
1070,8459
473,8577
3288,8842
3562,8878
2183,10020
11814,10025
11820,10160
890,10175
3907,10176
196,10196
9967,10088
3390,10529
7503,10530
1739,10537
3766,10543
12162,10547
1554,10575
748,10586
7252,10603
10601,10605
5714,10611
1647,10653
748,10729
7488,10920
208,11301
2182,12369
10280,11375
11377,11376
6674,11759
923,11791
196,11810
7963,11991
177,12015
923,12459
1965,12748
261,12492
12629,12631
19179,12758
23089,12758
23085,12758
23091,12758
1500,7181
473,6429
10183,8217
231,11023
3342,5643
3057,5643
3051,9055
1681,9055
11804,9055
9268,9267
2510,9018
7040,9018
889,9018
5888,9053
4290,9053
13831,9053
2198,9054
2185,9054
2061,9054
4273,12912
7245,12922
13521,9060
5960,9060
13847,9060
13515,13514
13516,13514
13517,13514
13518,13514
13519,13514
13520,13514
13521,13514
13522,13514
13523,13514
4422,13510
1628,9369
1647,13016
148,13169
5307,13219
196,13290
1146,13289
5676,13263
3051,9076
19,9076
7774,13892
923,9382
5232,9111
7116,9112
2392,9368
2484,9151
3723,9327
13918,9317
13410,9317
13919,9317
13920,9317
13921,9317
5052,9316
425,9316
6127,9316
7724,9316
3192,9316
6951,9217
4422,4739
196,4766
744,4822
196,12033
1925,12534
196,4978
11002,11057
923,11187
4982,10672
4685,11549
11699,11698
3562,8418
1647,11890
2037,4471
7483,7371
2340,7632
196,6738
196,7812
4578,5632
196,10685
492,11397
5647,13999
4696,14132
14133,14132
6189,14155
7507,14155
14336,14335
5405,14381
7067,14389
5397,14513
14566,14565
14565,14567
993,14568
4505,14655
2628,14741
4045,14930
6189,14930
2234,14954
4598,14960
1183,15191
748,15397
2535,15460
4290,15644
13831,15644
5888,15644
1249,15787
5982,16326
3226,16644
4982,16869
4180,16876
9967,7956
5993,17217
4982,17243
6189,17442
7507,17442
5993,17621
19,17970
4507,18345
20,18395
24513,6102
9718,18446
5714,18451
5714,18452
4186,18455
4685,18816
748,18816
3045,18906
5186,18906
9000,18906
9915,18906
2972,18906
8875,18906
4340,18906
217,18906
782,18914
648,18914
24513,19029
5714,19086
5714,19139
19312,19316
19317,19316
19318,19316
19370,19316
2185,19350
2061,19350
10962,19429
4772,19429
8528,19452
20823,19884
20831,19884
5405,20316
13932,20316
20348,20332
20347,20332
7732,20365
4503,20365
1404,20365
5979,20365
3519,20365
2535,20596
2195,20806
5714,21069
10957,21096
19400,21096
21095,21096
21153,21096
21434,21433
21457,21456
3681,21728
5798,21728
1471,21728
12079,21728
2480,21728
1439,21731
9982,21787
9675,22023
16022,22023
16053,22023
16218,22023
9787,22023
6178,22023
3389,22840
2185,22840
5989,22849
3389,22862
196,22921
1957,22923
23093,23092
6888,23178
10931,23178
6834,23178
11036,23178
23181,23178
19194,23178
23085,23178
196,23246
6016,23798
196,24025
5714,24030
5714,24031
4508,24034
5714,24260
7514,24496
13303,24496
24501,24496
19440,24496
10028,24496
8038,24496
10801,24496
2472,24496
2498,24496
24498,24496
5728,25114
2186,25121
208,25121
22096,25467
