synset_id,holo_stuff_object_id
3045,2077
3358,2567
2902,3147
475,3615
7067,342
474,372
425,430
5207,441
5207,466
2690,467
474,469
4273,599
4273,675
3045,922
474,1525
346,1526
5186,1527
3045,1528
4273,11529
474,3123
2690,3157
4273,2349
3077,3087
475,4065
4273,4247
474,4298
4340,87
217,4391
474,4392
474,4460
217,4461
474,4513
7067,4519
5155,4537
4273,4583
475,4883
4969,4982
7250,4989
1174,4994
4273,4275
474,5015
4273,5087
9551,5112
3045,5436
475,4543
474,5453
474,5450
474,5449
474,5237
5207,5209
474,5713
8422,6003
475,5733
217,5736
4273,5743
4273,5779
474,5801
474,5951
474,5974
474,5976
346,5989
217,5990
475,6031
425,6127
217,6134
568,6174
475,6143
2183,6240
6378,6330
6127,6334
4273,6363
5116,6378
474,6385
474,6388
217,8953
217,6433
475,7505
474,7532
4273,5789
4760,6966
5862,5857
3557,5877
5888,5886
4273,6847
475,6519
346,6690
5155,6641
475,6676
2690,6776
6639,6777
475,6822
19,6833
1679,6836
217,7030
2690,7094
993,7116
1930,7165
4273,7176
474,7254
6378,7278
6378,6467
4273,7376
6189,7713
2183,7827
475,7883
474,8085
1930,8865
4273,8311
9857,9714
8018,9716
474,8350
4273,9726
4273,9809
7721,9810
7741,9866
3045,9871
217,9918
475,8547
993,8577
217,8835
5155,8751
7234,8786
1930,8871
217,8919
4273,10073
475,10299
3462,10423
346,10534
474,5193
475,10751
474,11051
474,11052
3358,11158
346,11160
346,11161
474,11367
474,11369
4340,11542
7084,11644
346,11697
474,11782
4273,12101
475,12769
1249,8931
4273,8301
9000,9010
9000,9011
475,9470
5207,9472
474,9482
474,13525
473,9079
7234,13156
1679,13126
19,13216
4273,13242
9000,9463
8875,9463
9857,9437
4045,9082
474,9377
2690,9366
4273,9350
3325,9269
346,9527
4273,10243
4273,8394
4273,8915
4273,7150
7835,7825
474,7879
4340,7535
6554,14023
4273,14088
4273,14247
9909,14332
9909,14333
4273,14400
5207,14418
217,14466
4273,14473
7067,14489
217,14554
4273,14555
474,14709
4273,14754
475,14801
6658,14812
2888,14818
9413,14818
4273,14872
2690,14874
475,14891
3121,14895
475,14902
475,14907
217,15062
4273,15127
475,15131
6378,15142
7067,15182
4273,15195
5155,15401
475,15499
475,15598
5155,15774
7835,15806
4273,15835
4273,15871
4273,15873
475,15902
5757,16033
6638,16034
4273,16072
5155,16304
4273,16375
475,16477
4273,16480
4273,16534
475,16657
3121,16701
9000,16804
3077,16954
9463,16959
475,17079
6378,17090
9857,17109
5155,17152
475,17221
4273,17262
4273,17583
4273,17607
4273,17756
4645,17774
13194,17881
475,17938
475,17965
217,17994
11034,18052
4273,18104
9000,18132
475,18185
4273,18249
475,18343
217,18351
9915,18475
18516,18514
217,18552
4273,18650
4956,18913
475,18927
475,18993
4273,19004
217,19112
4273,19215
6639,19223
6639,19243
4273,19470
475,19918
475,19992
4273,20122
7522,20195
4273,20234
217,20257
6639,20357
6639,20380
6639,20389
4273,20398
3121,20440
4273,20477
474,20953
475,21424
5253,21554
475,21754
5155,21816
12559,22450
7067,22560
4340,22664
4340,23021
22157,23135
1391,23307
1391,23308
9463,23539
475,23580
475,23581
23784,23785
4273,23812
4273,23813
6658,24007
10951,24007
1663,24007
217,24594
474,25261
9857,25506
25528,25526
4273,25536
4273,25593
2183,25646
474,25687
8903,25706
4273,27973
9909,27977
9000,28837
217,28838
3462,29101
4273,29807
474,30055
3045,30641
9463,30873
7835,31169
217,31182
2023,31185
475,31203
10337,31555
2690,32234
9000,33762
