synset_id,hypernymy_id
11,2377
12,2377
13,18
14,5024
19,20
44,2857
47,49
47,1723
54,183
55,2349
57,67
58,4648
59,57
63,652
64,75
65,652
66,78
80,81
89,7766
93,95
94,3566
97,99
98,99
103,1723
105,106
107,108
109,106
110,104
117,120
119,3454
120,104
121,120
125,3600
127,3600
130,148
131,149
132,96
133,151
134,183
135,3793
137,5772
138,183
139,138
141,183
154,2349
156,189
159,183
165,196
171,18
1901,2761
1901,3345
1902,2896
1870,858
1903,3282
1858,798
1904,1282
1855,3552
1905,1856
1905,10729
1919,10734
1906,1973
3568,3955
1907,7440
1908,6798
1908,1435
1909,1070
1872,3139
1867,658
1913,2064
1913,1939
1923,1798
1924,196
1559,1070
1925,1854
1854,1928
1926,503
1927,1928
4,1973
1928,3860
1754,1501
1929,1928
1550,1501
1930,628
1930,1664
3532,7968
1931,744
1501,1070
1932,3345
1933,196
1934,4823
2902,1799
2905,183
1935,5993
1752,1501
1936,3139
1937,1694
1938,183
1939,748
1940,196
1941,183
1942,183
1843,183
1943,1885
1842,1843
1841,183
1949,565
1617,1637
1950,565
1618,1637
1951,1319
1952,196
1953,3136
1954,1070
581,3060
1955,1886
1956,5866
1957,20425
1958,652
1959,6326
1960,1070
1961,1236
807,965
3250,2166
3251,1885
1962,3872
1964,878
1965,6103
1967,19
1966,1967
1969,878
1970,6798
1970,1435
1971,269
1972,1236
1972,3247
1973,3108
1974,2957
1975,1976
1976,732
1977,3514
1979,3345
1980,1856
1981,3068
1983,183
1984,861
1985,492
5,451
1986,492
1987,7712
1988,2484
1991,744
1992,1931
1992,4343
1993,3136
1994,492
1995,492
1999,858
5357,20
2003,21876
1790,1789
4487,183
2008,558
2009,503
2010,804
1789,492
2011,1788
1788,492
2012,2009
2013,6488
1836,7897
2014,4650
1845,1588
2017,2183
2018,3139
2019,503
2020,615
2021,490
2022,923
2022,1957
2023,1236
2024,3345
2025,878
2026,2484
2027,628
2028,1857
2029,2349
2030,1759
1762,5303
2031,13313
2032,649
1761,649
2034,658
2035,12149
2036,4650
2037,1723
2037,1897
2038,1275
2042,555
1764,3345
2043,1182
1182,1764
2044,672
2046,3614
2047,555
2049,696
2050,3345
2051,3068
2052,1885
2053,5866
2054,2050
2055,3057
2056,2578
2057,2047
555,537
2058,628
2059,2047
2060,744
2061,2484
2063,338
2064,761
2067,4990
2068,2524
2070,1955
2071,7290
2072,787
2073,2105
2074,1897
2075,1973
2076,3552
2077,3051
2078,1637
3162,183
2083,3136
2083,6326
2085,1954
2086,2913
2087,652
2087,12149
2088,1879
2089,1765
2091,878
2096,7774
2097,3723
2105,1897
2106,923
2108,878
2109,652
2110,2176
2111,2484
2118,269
2119,1588
2120,6745
2122,2913
2123,2971
2124,183
2125,1664
2127,1008
2128,2042
2131,141
2132,3345
2133,3345
2134,2022
2142,1209
2143,672
2143,5705
2144,950
2153,7712
2154,5774
2155,2803
2156,21876
2157,565
2158,104
2159,1583
2164,1723
2164,1897
2165,1588
2166,1843
2167,1236
2168,4650
2169,2941
2170,3656
2171,4261
2172,1588
2173,1009
2176,1236
2177,503
2178,4578
2179,1644
2180,1643
2181,1885
2182,1236
2183,3345
2184,492
2185,2484
2185,26802
2185,15297
2186,27080
993,7547
993,13870
2187,2819
2188,563
2189,183
2190,1046
2191,2954
2191,165
2192,1494
2193,3288
2194,4835
2195,1632
2196,1059
2197,7897
2198,2484
2199,392
2200,2063
2201,7547
2202,1070
2203,3120
2204,2063
2205,196
2206,1627
2207,2063
2208,196
2209,2183
2210,2183
2215,703
2216,3887
2217,4417
2218,4417
2222,1318
2223,4650
2228,652
2239,104
2240,3387
2245,18
2246,4574
2261,1548
2266,652
2267,4781
2268,1144
2274,1588
2275,1617
2300,2986
2306,565
2306,3136
2307,1182
2308,672
2309,3723
2310,3345
2311,1182
2317,4123
2318,47
2320,5856
2321,6579
2322,3346
2323,1876
2324,259
2325,2309
2329,4077
2330,4291
2331,6549
2332,3288
2333,1209
2337,5466
2338,1236
2338,1627
2340,1236
2340,1493
2342,744
2354,909
2355,1843
2369,1269
2370,2373
2371,196
2372,2371
2373,2371
2374,5466
2375,3345
5052,1435
2376,46
2380,4273
2385,2628
2391,652
2392,1957
2392,3345
2393,3888
2394,2023
2395,1644
2396,2144
2397,1312
2398,1306
2399,3345
2400,3060
2401,793
2402,5003
2407,858
2408,1321
2413,1079
2426,104
2427,2994
2428,652
2446,652
2447,652
2463,652
2464,1376
2464,652
2465,2463
2466,2884
2469,1685
2472,1856
2472,47
2472,22838
2478,2064
2480,1439
2480,7290
2485,1403
2486,28363
2487,28528
2488,1723
2496,10321
2498,1856
2498,497
2498,22838
2501,1423
2502,20
2504,1427
2507,880
2508,880
2509,2979
2510,208
2511,20
2512,6553
2513,2165
2514,8285
2522,4631
2523,2524
2524,3257
2525,4312
2526,5788
2527,878
2535,615
2542,6766
2543,3600
2544,21875
2545,2051
2551,783
2551,1493
2553,1973
2554,652
2555,1973
2555,1957
2556,3552
2558,1502
2559,196
2565,183
2566,6740
2567,20
2568,183
2569,673
2570,1525
2571,1744
2573,3282
2576,125
2577,1973
2578,652
2583,1973
2584,196
2585,1973
2586,696
2587,1973
2588,2812
2589,1901
2590,28214
2592,652
2592,1376
2593,1957
2598,628
2599,1965
2602,2722
2604,1281
2605,3630
2606,3162
2610,1570
2611,196
2612,8489
2614,1576
2615,3813
2616,5847
2617,1585
2619,1585
2621,1423
2635,652
2636,1602
2638,2377
2639,2377
2649,3475
2650,5515
2650,25563
2650,1236
2654,104
2655,2979
2656,2979
2657,10743
2659,1071
2660,3344
1839,1886
2661,1627
1886,1954
2664,2377
2665,3288
2667,2913
2668,183
2669,183
1475,4430
2670,848
1474,4430
2673,1973
1406,1857
1413,5307
1412,5307
28524,1412
2675,2578
2676,1653
2690,1236
2690,744
1405,1857
2691,2340
1404,1857
2692,720
2693,5155
2695,1576
2706,2377
2709,222
2711,2177
2712,6587
2713,18
2714,196
2716,18
2717,3602
2719,652
2719,2377
1398,1856
2722,652
2722,846
2723,913
2724,1694
2725,3344
2726,11002
2727,4863
2728,4821
1397,1856
2729,1699
2730,1957
2732,652
1396,1856
2733,1009
2734,1376
1386,1856
2735,11910
1385,1856
2736,1709
2749,1732
2750,1732
2751,1732
1382,5219
2752,1924
2753,2373
1381,2063
2754,2373
1372,4897
2755,2743
2758,2742
1280,5987
2759,2758
1279,2063
2760,3188
2761,1973
1278,4439
2762,183
2762,10729
1264,6187
2763,4835
2764,6594
785,3288
2765,497
2766,923
2767,1973
2768,965
2861,81
2771,3649
2772,1760
2776,3451
2777,652
2778,2777
2784,878
2791,1588
2792,1588
2793,3097
2794,652
2795,1760
2796,2742
2797,2754
2799,1786
2800,99
2802,3356
2803,3316
2804,183
2805,196
2808,1856
2808,22838
2810,1797
2811,1797
2815,1799
2817,104
2817,1588
2834,652
2818,2817
2819,1403
2838,1651
2842,2843
2843,1340
2845,2655
2848,21875
2854,104
2855,3016
2857,1843
2860,2968
2863,1588
2869,652
2870,1588
182,2934
2936,104
2937,1376
2938,5218
2939,652
2940,183
2951,1585
2954,196
2956,1588
2957,99
2958,1376
2961,848
2961,3139
2967,652
2962,473
2962,3612
2963,652
2971,3025
2994,104
2995,3025
2996,104
2997,196
3003,3004
3004,104
3005,689
3006,46
3008,182
3031,4615
3009,5467
3010,134
3015,183
3016,3015
3017,5939
3018,3015
3020,3015
3019,3096
3021,3098
3022,3120
3024,652
2484,1856
2225,10729
3558,3139
2977,26802
2977,2484
2977,7915
2978,1930
3170,628
3170,2106
2826,662
22079,2349
2979,3860
2984,3285
2985,2994
2986,652
2987,196
2988,652
142,104
2990,104
3291,7647
3040,26802
3040,2484
3041,208
3042,8496
3044,8496
3045,482
3046,134
3323,3324
3324,3325
3325,1210
3326,2778
3327,703
3328,3329
3329,7766
3330,4781
3049,4649
3050,104
3051,3339
3052,3051
3053,2995
3057,12878
3057,165
3058,17570
32544,6132
3059,744
3060,134
3062,7944
3063,3059
3068,3345
3069,689
3070,3346
3071,224
3085,3345
3086,3378
3101,5589
3103,105
3104,1965
3106,2835
3107,1957
2914,1671
15,11769
2377,3860
3119,995
3119,12149
3131,196
3132,2109
3097,12149
3133,662
3134,6326
3135,2954
3136,20425
3137,3097
3138,2349
3139,3345
3144,3345
3145,1543
3146,5119
3147,4015
3163,183
3176,940
3178,2857
2238,3277
3182,2349
3184,8489
3185,2058
3191,7962
3509,1588
3479,196
3215,196
3218,196
3220,3524
3221,3526
1998,923
3222,3527
3165,1856
3223,3165
3225,801
3226,5307
28541,5264
28542,848
3257,652
3258,2913
3100,7897
3259,73
3260,652
3261,5489
3262,3990
3263,3264
3264,3558
3265,1502
3278,3562
3270,104
3271,4411
3272,1973
3273,2767
3275,9
3275,1681
3275,183
3277,12149
3227,3107
3227,3345
3228,1633
3229,269
3230,3281
3231,923
3232,1723
3233,99
3234,3107
3235,3236
3237,3821
3238,3793
3239,183
3241,3624
3243,6937
3245,3345
3246,183
3248,940
3249,9284
3253,1885
3252,1885
20,744
3298,2716
3298,18
3298,183
3302,1588
3303,3509
3304,1799
3305,689
3633,290
3306,1403
3315,3136
3315,744
3316,196
3317,1856
3318,3636
3319,3316
3320,3639
3321,2740
3322,3639
3322,10100
3352,1965
3356,1758
3357,3356
3358,20
3358,6267
3366,3368
3367,3643
3368,104
3373,3645
3381,99
3647,99
3402,3401
3403,3649
3404,15721
3408,3566
3411,1814
3423,1588
3425,5173
3426,3423
3424,183
3427,73
3428,3429
3429,183
3431,1525
3442,1758
3443,183
3445,6986
3447,652
3656,3657
3449,3656
3451,652
3459,652
3460,652
3461,9967
3462,4650
3463,2349
3470,1070
2955,165
2955,858
3536,3515
3537,183
3538,97
3530,652
2999,1585
3539,104
178,2999
3482,183
3544,3562
3546,1783
3548,196
3549,4441
3550,165
3551,3288
3552,1973
3552,3345
3553,3345
3565,3566
3564,1956
3563,7248
3567,1904
99,1723
3570,2037
3574,196
3477,783
3685,2939
3120,1637
3597,995
3493,2987
128,5218
3601,9848
3600,1585
3602,1866
3603,1866
2993,3475
3475,1866
3604,1973
3605,104
991,104
3607,1857
1046,18525
3608,104
3114,858
3686,2954
3610,3485
3613,3614
3623,183
3612,923
3689,134
1424,689
3533,1901
3614,6284
3615,3475
3534,783
3534,1973
3616,4
3618,1901
3691,3619
3620,3617
16,75
17,183
24991,2349
1387,3136
25015,3646
18,183
9,183
153,744
40,4912
24,1683
45,2377
46,1842
49,269
269,923
387,3259
71,652
62,1002
56,4422
67,12149
68,652
69,1925
70,2535
72,652
74,652
75,1376
76,3060
77,652
79,652
81,165
82,81
91,92
92,12133
95,183
96,689
104,73
106,551
108,3067
111,1468
129,689
146,11814
148,4291
149,183
136,134
143,104
147,3649
150,9967
151,1957
183,12149
170,5644
174,2108
175,3396
176,171
177,222
181,5241
184,183
185,20521
186,395
189,10729
191,189
196,338
196,704
200,1901
201,1973
203,1973
204,798
205,652
206,1627
207,10729
207,6305
13805,3282
208,512
210,127
212,165
213,196
214,680
215,4611
216,3553
217,474
218,196
219,1144
220,1144
221,196
222,196
223,9967
225,208
226,208
227,208
228,208
229,208
230,512
231,2022
232,2022
233,2022
241,2022
250,217
251,217
252,223
253,223
254,3282
255,3282
256,3282
257,3283
258,10697
259,2322
299,259
300,259
301,299
264,259
260,1925
261,1925
262,1925
267,1070
