synset_id,hyponymy_id
2377,11
2377,12
18,13
5024,14
20,19
2857,44
49,47
1723,47
183,54
2349,55
67,57
4648,58
57,59
652,63
75,64
652,65
78,66
81,80
7766,89
95,93
3566,94
99,97
99,98
1723,103
106,105
108,107
106,109
104,110
120,117
3454,119
104,120
120,121
3600,125
3600,127
148,130
149,131
96,132
151,133
183,134
3793,135
5772,137
183,138
138,139
183,141
2349,154
189,156
183,159
196,165
18,171
2761,1901
3345,1901
2896,1902
858,1870
3282,1903
798,1858
1282,1904
3552,1855
1856,1905
10729,1905
10734,1919
1973,1906
3955,3568
7440,1907
6798,1908
1435,1908
1070,1909
3139,1872
658,1867
2064,1913
1939,1913
1798,1923
196,1924
1070,1559
1854,1925
1928,1854
503,1926
1928,1927
1973,4
3860,1928
1501,1754
1928,1929
1501,1550
628,1930
1664,1930
7968,3532
744,1931
1070,1501
3345,1932
196,1933
4823,1934
1799,2902
183,2905
5993,1935
1501,1752
3139,1936
1694,1937
183,1938
748,1939
196,1940
183,1941
183,1942
183,1843
1885,1943
1843,1842
183,1841
565,1949
1637,1617
565,1950
1637,1618
1319,1951
196,1952
3136,1953
1070,1954
3060,581
1886,1955
5866,1956
20425,1957
652,1958
6326,1959
1070,1960
1236,1961
965,807
2166,3250
1885,3251
3872,1962
878,1964
6103,1965
19,1967
1967,1966
878,1969
6798,1970
1435,1970
269,1971
1236,1972
3247,1972
3108,1973
2957,1974
1976,1975
732,1976
3514,1977
3345,1979
1856,1980
3068,1981
183,1983
861,1984
492,1985
451,5
492,1986
7712,1987
2484,1988
744,1991
1931,1992
4343,1992
3136,1993
492,1994
492,1995
858,1999
20,5357
21876,2003
1789,1790
183,4487
558,2008
503,2009
804,2010
492,1789
1788,2011
492,1788
2009,2012
6488,2013
7897,1836
4650,2014
1588,1845
2183,2017
3139,2018
503,2019
615,2020
490,2021
923,2022
1957,2022
1236,2023
3345,2024
878,2025
2484,2026
628,2027
1857,2028
2349,2029
1759,2030
5303,1762
13313,2031
649,2032
649,1761
658,2034
12149,2035
4650,2036
1723,2037
1897,2037
1275,2038
555,2042
3345,1764
1182,2043
1764,1182
672,2044
3614,2046
555,2047
696,2049
3345,2050
3068,2051
1885,2052
5866,2053
2050,2054
3057,2055
2578,2056
2047,2057
537,555
628,2058
2047,2059
744,2060
2484,2061
338,2063
761,2064
4990,2067
2524,2068
1955,2070
7290,2071
787,2072
2105,2073
1897,2074
1973,2075
3552,2076
3051,2077
1637,2078
183,3162
3136,2083
6326,2083
1954,2085
2913,2086
652,2087
12149,2087
1879,2088
1765,2089
878,2091
7774,2096
3723,2097
1897,2105
923,2106
878,2108
652,2109
2176,2110
2484,2111
269,2118
1588,2119
6745,2120
2913,2122
2971,2123
183,2124
1664,2125
1008,2127
2042,2128
141,2131
3345,2132
3345,2133
2022,2134
1209,2142
672,2143
5705,2143
950,2144
7712,2153
5774,2154
2803,2155
21876,2156
565,2157
104,2158
1583,2159
1723,2164
1897,2164
1588,2165
1843,2166
1236,2167
4650,2168
2941,2169
3656,2170
4261,2171
1588,2172
1009,2173
1236,2176
503,2177
4578,2178
1644,2179
1643,2180
1885,2181
1236,2182
3345,2183
492,2184
2484,2185
26802,2185
15297,2185
27080,2186
7547,993
13870,993
2819,2187
563,2188
183,2189
1046,2190
2954,2191
165,2191
1494,2192
3288,2193
4835,2194
1632,2195
1059,2196
7897,2197
2484,2198
392,2199
2063,2200
7547,2201
1070,2202
3120,2203
2063,2204
196,2205
1627,2206
2063,2207
196,2208
2183,2209
2183,2210
703,2215
3887,2216
4417,2217
4417,2218
1318,2222
4650,2223
652,2228
104,2239
3387,2240
18,2245
4574,2246
1548,2261
652,2266
4781,2267
1144,2268
1588,2274
1617,2275
2986,2300
565,2306
3136,2306
1182,2307
672,2308
3723,2309
3345,2310
1182,2311
4123,2317
47,2318
5856,2320
6579,2321
3346,2322
1876,2323
259,2324
2309,2325
4077,2329
4291,2330
6549,2331
3288,2332
1209,2333
5466,2337
1236,2338
1627,2338
1236,2340
1493,2340
744,2342
909,2354
1843,2355
1269,2369
2373,2370
196,2371
2371,2372
2371,2373
5466,2374
3345,2375
1435,5052
46,2376
4273,2380
2628,2385
652,2391
1957,2392
3345,2392
3888,2393
2023,2394
1644,2395
2144,2396
1312,2397
1306,2398
3345,2399
3060,2400
793,2401
5003,2402
858,2407
1321,2408
1079,2413
104,2426
2994,2427
652,2428
652,2446
652,2447
652,2463
1376,2464
652,2464
2463,2465
2884,2466
1685,2469
1856,2472
47,2472
22838,2472
2064,2478
1439,2480
7290,2480
1403,2485
28363,2486
28528,2487
1723,2488
