synset_id,mero_component_object_id
19,7445
55,56
55,30481
154,2036
1901,3552
1901,3680
1901,3235
1901,3679
1901,2076
1901,3409
1901,24784
1550,5004
1930,5361
1930,5360
1752,2085
1950,369
1961,4758
1961,1072
1962,415
2009,4124
2009,13140
1836,2014
2019,3920
2019,5949
2029,5082
2030,647
2063,753
2063,752
2063,1538
2063,1540
2063,1541
2178,12345
2180,1641
2182,1930
2186,7798
2193,10727
2195,1628
2197,1629
2317,22823
2332,1227
2340,1120
2354,2380
2510,25563
2510,290
2650,1238
2665,20695
785,2071
3044,2972
3138,3141
3185,2125
3185,1930
3191,21609
3226,3529
3265,3559
3265,3560
3462,4924
3463,3462
3470,7546
3551,3501
3552,1522
3552,1543
3552,3678
3552,798
3603,2535
233,241
256,257
256,1701
270,2177
270,272
270,271
270,273
270,5488
298,319
298,320
320,321
320,322
332,798
335,471
337,7253
340,342
341,344
343,217
346,5732
367,537
371,4322
397,412
407,4286
3872,415
422,2019
422,5443
422,5056
422,1390
422,8899
443,2168
452,459
468,5207
491,505
491,13322
491,22826
537,571
610,5253
644,5253
647,627
692,694
728,1038
730,7727
736,2060
792,4927
792,30955
976,977
985,990
985,15183
987,988
987,989
1072,2202
1072,1960
1072,1926
1072,4088
1216,33208
1315,1316
1393,1394
1393,4269
1399,2480
3529,30866
1580,1636
7541,1582
7541,478
1690,1692
1691,1693
1691,6604
1692,1965
1697,7029
1697,22037
1636,2009
1755,1347
2163,752
1516,20550
1183,3133
849,1556
4441,476
4441,6055
4066,476
2710,1174
2915,928
947,20078
3121,9000
3121,8875
1553,4206
1553,21779
1553,21784
1553,21786
1553,21787
1757,6396
5001,3007
1371,3245
605,2177
605,2325
605,985
605,604
605,4880
2349,2020
2349,610
2349,644
2234,2273
3143,3142
3554,1471
3554,5247
3594,5582
3626,14868
3627,3952
3627,5017
3996,1930
3996,907
4027,3681
4046,5085
4043,25773
4048,5084
4071,29545
4113,30865
4123,26548
2135,4007
4194,4168
4168,4169
4175,29543
4197,22315
4272,13831
4284,4290
4415,12078
4415,12488
4422,6121
4422,4510
