synset_id,mero_stuff_object_id
2077,3045
2567,3358
3147,2902
3615,475
342,7067
372,474
430,425
441,5207
466,5207
467,2690
469,474
599,4273
675,4273
922,3045
1525,474
1526,346
1527,5186
1528,3045
11529,4273
3123,474
3157,2690
2349,4273
3087,3077
4065,475
4247,4273
4298,474
87,4340
4391,217
4392,474
4460,474
4461,217
4513,474
4519,7067
4537,5155
4583,4273
4883,475
4982,4969
4989,7250
4994,1174
4275,4273
5015,474
5087,4273
5112,9551
5436,3045
4543,475
5453,474
5450,474
5449,474
5237,474
5209,5207
5713,474
6003,8422
5733,475
5736,217
5743,4273
5779,4273
5801,474
5951,474
5974,474
5976,474
5989,346
5990,217
6031,475
6127,425
6134,217
6174,568
6143,475
6240,2183
6330,6378
6334,6127
6363,4273
6378,5116
6385,474
6388,474
8953,217
6433,217
7505,475
7532,474
5789,4273
6966,4760
5857,5862
5877,3557
5886,5888
6847,4273
6519,475
6690,346
6641,5155
6676,475
6776,2690
6777,6639
6822,475
6833,19
6836,1679
7030,217
7094,2690
7116,993
7165,1930
7176,4273
7254,474
7278,6378
6467,6378
7376,4273
7713,6189
7827,2183
7883,475
8085,474
8865,1930
8311,4273
9714,9857
9716,8018
8350,474
9726,4273
9809,4273
9810,7721
9866,7741
9871,3045
9918,217
8547,475
8577,993
8835,217
8751,5155
8786,7234
8871,1930
8919,217
10073,4273
10299,475
10423,3462
10534,346
5193,474
10751,475
11051,474
11052,474
11158,3358
11160,346
11161,346
11367,474
11369,474
11542,4340
11644,7084
11697,346
11782,474
12101,4273
12769,475
8931,1249
8301,4273
9010,9000
9011,9000
9470,475
9472,5207
9482,474
13525,474
9079,473
13156,7234
13126,1679
13216,19
13242,4273
9463,9000
9463,8875
9437,9857
9082,4045
9377,474
9366,2690
9350,4273
9269,3325
9527,346
10243,4273
8394,4273
8915,4273
7150,4273
7825,7835
7879,474
7535,4340
14023,6554
14088,4273
14247,4273
14332,9909
14333,9909
14400,4273
14418,5207
14466,217
14473,4273
14489,7067
14554,217
14555,4273
14709,474
14754,4273
14801,475
14812,6658
14818,2888
14818,9413
14872,4273
14874,2690
14891,475
14895,3121
14902,475
14907,475
15062,217
15127,4273
15131,475
15142,6378
15182,7067
15195,4273
15401,5155
15499,475
15598,475
15774,5155
15806,7835
15835,4273
15871,4273
15873,4273
15902,475
16033,5757
16034,6638
16072,4273
16304,5155
16375,4273
16477,475
16480,4273
16534,4273
16657,475
16701,3121
16804,9000
16954,3077
16959,9463
17079,475
17090,6378
17109,9857
17152,5155
17221,475
17262,4273
17583,4273
17607,4273
17756,4273
17774,4645
17881,13194
17938,475
17965,475
17994,217
18052,11034
18104,4273
18132,9000
18185,475
18249,4273
18343,475
18351,217
18475,9915
18514,18516
18552,217
18650,4273
18913,4956
18927,475
18993,475
19004,4273
19112,217
19215,4273
19223,6639
19243,6639
19470,4273
19918,475
19992,475
20122,4273
20195,7522
20234,4273
20257,217
20357,6639
20380,6639
20389,6639
20398,4273
20440,3121
20477,4273
20953,474
21424,475
21554,5253
21754,475
21816,5155
22450,12559
22560,7067
22664,4340
23021,4340
23135,22157
23307,1391
23308,1391
23539,9463
23580,475
23581,475
23785,23784
23812,4273
23813,4273
24007,6658
24007,10951
24007,1663
24594,217
25261,474
25506,9857
25526,25528
25536,4273
25593,4273
25646,2183
25687,474
25706,8903
27973,4273
27977,9909
28837,9000
28838,217
29101,3462
29807,4273
30055,474
30641,3045
30873,9463
31169,7835
31182,217
31185,2023
31203,475
31555,10337
32234,2690
33762,9000
