parent_id,child_id
1,2
1,91
1,93
1,116
2,3
2,4
2,5
2,6
2,25
2,54
2,79
2,80
2,149
2,150
2,174
2,219
2,220
6,7
6,10
7,8
7,9
7,22
7,23
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,173
11,20
11,21
11,24
14,212
14,213
23,221
25,26
25,34
25,35
25,44
26,27
26,28
26,29
26,30
26,31
26,32
26,33
26,194
34,36
34,37
34,214
35,38
35,39
35,40
35,41
35,42
35,43
35,222
44,45
44,46
44,47
44,48
44,49
44,50
44,51
44,52
44,53
44,151
44,153
44,155
44,156
44,159
44,166
44,195
44,215
44,216
50,170
50,171
50,172
51,55
51,56
51,57
51,164
52,58
52,59
52,60
52,61
52,62
54,63
54,64
54,65
54,66
54,67
54,68
54,69
54,70
54,71
54,72
54,73
54,74
54,75
54,76
54,77
54,78
79,81
79,83
79,84
79,85
79,196
79,197
79,198
80,89
80,90
80,158
81,86
81,87
81,88
83,202
83,203
88,178
91,92
91,94
91,96
91,112
91,113
93,95
93,114
93,115
93,117
93,118
93,119
93,120
93,121
93,122
93,180
93,181
95,192
95,193
95,206
95,207
96,97
96,98
96,99
96,100
96,101
96,102
96,103
96,104
96,105
96,106
96,107
96,108
96,109
96,110
96,111
96,154
96,161
96,162
96,163
96,165
96,189
96,190
96,191
96,211
106,208
106,209
106,210
116,123
116,143
116,146
116,147
116,148
116,179
116,186
116,204
121,205
123,124
123,125
123,126
123,127
123,128
123,129
123,130
123,131
123,132
123,133
123,134
123,135
123,136
123,137
123,138
123,139
123,140
123,141
123,142
123,157
123,169
123,182
123,183
123,201
134,184
134,185
143,144
143,145
153,160
166,167
166,168
174,175
174,176
174,177
186,187
186,188
190,223
198,199
198,200
208,224
212,217
212,218
