"word",sense_count,"pos"
"1",1,"adjective"
"1",2,"noun"
"10",1,"adjective"
"10",2,"noun"
"100",1,"adjective"
"100",1,"noun"
"1000",1,"adjective"
"1000",1,"noun"
"10000",2,"noun"
"100000",1,"adjective"
"100000",1,"noun"
"1000000",1,"adjective"
"1000000",1,"noun"
"10000000",1,"adjective"
"10000000",1,"noun"
"100000000",1,"adjective"
"100000000",1,"noun"
"1000000000",1,"adjective"
"1000000000",1,"noun"
"100000000000",1,"adjective"
"100000000000",1,"noun"
"1000000000000",1,"adjective"
"1000000000000",1,"noun"
"10000000000000",1,"adjective"
"10000000000000",1,"noun"
"1000000000000000",1,"adjective"
"1000000000000000",1,"noun"
"100000000000000000",1,"adjective"
"100000000000000000",1,"noun"
"107",1,"adjective"
"10वाँ",1,"adjective"
"11",1,"adjective"
"11",2,"noun"
"11वाँ",1,"adjective"
"12",1,"adjective"
"12",2,"noun"
"12वाँ",1,"adjective"
"13",1,"adjective"
"13",2,"noun"
"13वाँ",1,"adjective"
"14",1,"adjective"
"14",2,"noun"
"14वाँ",1,"adjective"
"15",1,"adjective"
"15",2,"noun"
"150",1,"adjective"
"150",1,"noun"
"15वाँ",1,"adjective"
"16",1,"adjective"
"16",2,"noun"
"16 वाँ",1,"adjective"
"160",1,"adjective"
"16वाँ",1,"adjective"
"17",1,"adjective"
"17",2,"noun"
"17वाँ",1,"adjective"
"18",1,"adjective"
"18",2,"noun"
"18वाँ",1,"adjective"
"19",2,"adjective"
"19",2,"noun"
"19वाँ",1,"adjective"
"1ला",2,"adjective"
"1ला",2,"noun"
"2",1,"adjective"
"2",2,"noun"
"20",1,"adjective"
"20",2,"noun"
"200",1,"adjective"
"20वाँ",1,"adjective"
"21",2,"noun"
"21वाँ",1,"adjective"
"22",1,"adjective"
"22",2,"noun"
"22वाँ",1,"adjective"
"23",1,"adjective"
"23",2,"noun"
"23वाँ",1,"adjective"
"24",1,"adjective"
"24",2,"noun"
"24वाँ",1,"adjective"
"25",1,"adjective"
"25",2,"noun"
"250",1,"adjective"
"25वाँ",1,"adjective"
"26",1,"adjective"
"26",2,"noun"
"26वाँ",1,"adjective"
"27",1,"adjective"
"27",2,"noun"
"27वाँ",1,"adjective"
"28",1,"adjective"
"28",2,"noun"
"28वाँ",1,"adjective"
"29",1,"adjective"
"29",2,"noun"
"29वाँ",1,"adjective"
"2रा",1,"adjective"
"2रा",1,"noun"
"2री",2,"noun"
"3",1,"adjective"
"3",2,"noun"
"30",1,"adjective"
"30",2,"noun"
"300",1,"adjective"
"30वाँ",1,"adjective"
"31",1,"adjective"
"31",2,"noun"
"32",1,"adjective"
"32",1,"noun"
"32वाँ",1,"adjective"
"33",1,"adjective"
"33",1,"noun"
"34",1,"adjective"
"34",1,"noun"
"35",1,"adjective"
"35",1,"noun"
"36",1,"adjective"
"36",1,"noun"
"37",1,"adjective"
"37",1,"noun"
"38",1,"adjective"
"38",1,"noun"
"39",1,"adjective"
"39",1,"noun"
"3रा",1,"adjective"
"3रा",1,"noun"
"4",1,"adjective"
"4",2,"noun"
"40",1,"adjective"
"40",1,"noun"
"400",1,"adjective"
"41",1,"adjective"
"41",1,"noun"
"42",1,"adjective"
"42",1,"noun"
"43",1,"adjective"
"43",1,"noun"
"45",1,"adjective"
"45",1,"noun"
"46",1,"adjective"
"46",1,"noun"
"47",1,"adjective"
"47",1,"noun"
"48",1,"adjective"
"48",1,"noun"
"49",1,"adjective"
"49",1,"noun"
"4था",1,"adjective"
"4था",1,"noun"
"4४",1,"adjective"
"4४",1,"noun"
"5",1,"adjective"
"5",2,"noun"
"50",1,"adjective"
"50",1,"noun"
"500",1,"adjective"
"5000000",1,"adjective"
"5000000",1,"noun"
"51",1,"adjective"
"51",1,"noun"
"52",1,"adjective"
"52",1,"noun"
"53",1,"adjective"
"53",1,"noun"
"54",1,"adjective"
"54",1,"noun"
"55",1,"adjective"
"55",1,"noun"
"56",1,"adjective"
"56",1,"noun"
"57",1,"adjective"
"57",1,"noun"
"58",1,"adjective"
"58",1,"noun"
"59",1,"adjective"
"59",1,"noun"
"5वाँ",1,"adjective"
"6",1,"adjective"
"6",2,"noun"
"60",1,"adjective"
"60",1,"noun"
"61",1,"adjective"
"61",1,"noun"
"62",1,"adjective"
"62",1,"noun"
"63",1,"adjective"
"63",1,"noun"
"64",1,"adjective"
"64",1,"noun"
"65",1,"adjective"
"65",1,"noun"
"66",1,"adjective"
"66",1,"noun"
"67",1,"adjective"
"67",1,"noun"
"68",1,"adjective"
"68",1,"noun"
"6वाँ",1,"adjective"
"7",1,"adjective"
"7",2,"noun"
"70",1,"adjective"
"70",1,"noun"
"700",1,"adjective"
"71",1,"adjective"
"71",1,"noun"
"72",1,"adjective"
"72",1,"noun"
"73",1,"adjective"
"73",1,"noun"
"74",1,"adjective"
"74",1,"noun"
"75",1,"adjective"
"75",1,"noun"
"76",1,"adjective"
"76",1,"noun"
"77",1,"adjective"
"77",1,"noun"
"78",1,"adjective"
"78",1,"noun"
"79",2,"adjective"
"79",2,"noun"
"7वाँ",1,"adjective"
"8",1,"adjective"
"8",2,"noun"
"80",1,"adjective"
"80",1,"noun"
"81",1,"adjective"
"81",1,"noun"
"82",1,"adjective"
"82",1,"noun"
"83",1,"adjective"
"83",1,"noun"
"84",1,"adjective"
"84",1,"noun"
"85",1,"adjective"
"85",1,"noun"
"86",1,"adjective"
"86",1,"noun"
"87",1,"adjective"
"87",1,"noun"
"88",1,"adjective"
"88",1,"noun"
"89",1,"adjective"
"89",1,"noun"
"8वाँ",1,"adjective"
"9",1,"adjective"
"9",2,"noun"
"90",1,"adjective"
"90",1,"noun"
"91",1,"adjective"
"91",1,"noun"
"92",1,"adjective"
"92",1,"noun"
"93",1,"adjective"
"93",1,"noun"
"94",1,"adjective"
"94",1,"noun"
"95",1,"adjective"
"95",1,"noun"
"96",1,"adjective"
"96",1,"noun"
"97",1,"adjective"
"97",1,"noun"
"98",1,"adjective"
"98",1,"noun"
"99",1,"adjective"
"99",1,"noun"
"9वाँ",1,"adjective"
"A",1,"noun"
"A अक्षर",1,"noun"
"IV",1,"adjective"
"S",1,"noun"
"S अक्षर",1,"noun"
"a",1,"noun"
"a अक्षर",1,"noun"
"s",1,"noun"
"s अक्षर",1,"noun"
"ँ",1,"noun"
"अ",1,"noun"
"अँअड़ी",1,"noun"
"अँकटी",1,"noun"
"अँकड़ना",5,"verb"
"अँकड़ा",3,"noun"
"अँकड़ाहट",1,"noun"
"अँकड़ी",1,"noun"
"अँकरा",3,"noun"
"अँकरी",3,"noun"
"अँकरोरी",1,"noun"
"अँकरौरी",1,"noun"
"अँकवाना",1,"verb"
"अँकवार",2,"noun"
"अँकवारना",1,"verb"
"अँकवैया",1,"noun"
"अँकसी",1,"noun"
"अँकाई",2,"noun"
"अँकाना",1,"verb"
"अँकाव",1,"noun"
"अँकुड़ा",3,"noun"
"अँकुड़ी",1,"noun"
"अँकुरना",1,"verb"
"अँकुराया",1,"adjective"
"अँकुसी",3,"noun"
"अँकोड़ा",2,"noun"
"अँकोर",5,"noun"
"अँकोरना",2,"verb"
"अँकोरी",3,"noun"
"अँकौर",2,"noun"
"अँखिया",3,"noun"
"अँखुआ",2,"noun"
"अँखुआँ",1,"noun"
"अँखुआना",1,"verb"
"अँखुआया",1,"adjective"
"अँखोड़ा",1,"noun"
"अँखौड़ा",1,"noun"
"अँगड़ाई",1,"noun"
"अँगड़ाई लेना",1,"verb"
"अँगड़ाना",1,"verb"
"अँगनई",1,"noun"
"अँगना",1,"noun"
"अँगनाई",1,"noun"
"अँगनैया",1,"noun"
"अँगरखा",1,"noun"
"अँगराना",1,"verb"
"अँगरी",1,"noun"
"अँगरेज",1,"noun"
"अँगरेजिन",2,"noun"
"अँगरेजी",2,"adjective"
"अँगरेजी",2,"noun"
"अँगरेजी भाषा",1,"noun"
"अँगलेट",1,"noun"
"अँगाकरि",1,"noun"
"अँगिका",1,"noun"
"अँगिया",1,"noun"
"अँगिरा",1,"noun"
"अँगिरा ऋषि",1,"noun"
"अँगीठा",1,"noun"
"अँगीठी",2,"noun"
"अँगुठा छाप",1,"adjective"
"अँगुरिया",2,"noun"
"अँगुली",2,"noun"
"अँगुसी",1,"noun"
"अँगूठा",2,"noun"
"अँगूठा छाप",1,"noun"
"अँगूठी",1,"noun"
"अँगेट",1,"noun"
"अँगेठी",2,"noun"
"अँगेथू",1,"noun"
"अँगोछना",1,"verb"
"अँगोछा",1,"noun"
"अँगोछी",1,"noun"
"अँगोट",1,"noun"
"अँगोरना",2,"verb"
"अँगोरा",1,"noun"
"अँगोला",1,"noun"
"अँगौंगा",1,"noun"
"अँगौरिया",2,"noun"
"अँग्रेजवाद",1,"noun"
"अँग्रेज़वाद",1,"noun"
"अँग्रेज़ियत",2,"noun"
"अँग्रेजियत",2,"noun"
"अँग्विला",1,"noun"
"अँघड़ा",1,"noun"
"अँचरा",1,"noun"
"अँचला",1,"noun"
"अँचवना",1,"verb"
"अँचवाना",1,"verb"
"अँचार",1,"noun"
"अँजली",2,"noun"
"अँजवाना",1,"verb"
"अँजाना",1,"verb"
"अँजुरी",2,"noun"
"अँजोर",1,"noun"
"अँजोरना",1,"verb"
"अँजोरा",1,"adjective"
"अँजोरा",1,"noun"
"अँजोरिया",2,"noun"
"अँजोरी",1,"adjective"
"अँटना",1,"verb"
"अँटवाना",1,"verb"
"अँटाना",2,"verb"
"अँटिया",2,"noun"
"अँटियाना",1,"verb"
"अँटी",1,"noun"
"अँठई",1,"noun"
"अँठलाना",2,"verb"
"अँठली",4,"noun"
"अँडरना",1,"verb"
"अँड़ियाना",2,"verb"
"अँडिया",1,"noun"
