synset_id,hypernymy_id
2048,689
2883,1879
2884,10794
2885,1885
2888,1892
2889,903
2890,1896
2891,1897
3047,8491
3080,3081
3081,3375
3432,3295
3433,10794
2016,3667
2015,3666
3741,4678
3434,5367
4655,3295
234,18580
235,245
236,246
237,3756
238,235
239,9615
240,245
242,1912
243,242
244,5473
245,246
246,5474
1307,4669
1476,7121
3023,245
2715,7885
2820,2666
2666,3582
28781,13028
2541,2563
1912,3756
591,3295
1377,5212
1860,6237
1861,7121
2530,4669
2533,10794
2388,4248
2429,10794
2430,2270
2534,245
2431,3105
1510,3283
2917,3295
2229,2917
2882,2917
1579,4300
3128,7120
3129,9033
3130,7136
2152,3666
3489,3295
3491,3295
3498,591
3582,10794
3666,3295
3739,4300
3762,3432
3876,12497
3922,3666
3947,9774
3983,3986
3984,5870
4032,4743
4033,245
4098,11511
4099,4116
4101,4098
4114,7596
4115,4116
4116,13099
4118,3666
4236,7859
4237,3448
3448,4730
4238,3295
4239,4733
4240,4245
4241,9900
4245,3295
4246,3295
4248,3295
4249,10230
4250,4033
4251,3295
4301,4300
4303,246
4304,246
4305,236
4306,4300
4307,5032
4308,10230
4310,2270
4324,10331
3721,7302
4325,4327
4326,4329
4328,5784
4329,3295
4331,3295
4334,4327
4359,4679
4379,236
4394,4655
3105,10794
4582,9335
4604,5348
4654,4655
4676,4679
4679,245
4680,4679
4686,3295
4688,4686
4715,1472
4716,4718
4732,6855
4755,3081
4757,11571
592,591
4735,3295
3987,1476
4327,3081
5498,2468
5497,6345
5492,7121
5485,4300
5474,7302
5473,7125
5433,4858
5431,3985
5427,5429
5420,4757
5419,4718
5417,3295
5387,4655
5386,4655
5385,4655
5384,4655
5383,4655
5382,4655
5336,10871
5183,4300
5184,4300
5510,11571
5574,7136
5585,4300
5825,13028
5829,9335
7311,2563
5367,8266
8500,7342
5912,9192
5927,3047
5962,7120
5992,5278
4704,10794
6093,5353
6242,9582
6258,5367
6399,9335
6410,4674
6411,6470
6470,6160
6160,3295
7088,9192
6159,5474
6231,10844
5785,589
6601,3756
6864,11325
7502,8949
7324,7325
7325,7122
4300,3756
7604,3295
7620,7622
7664,3295
7691,245
6855,10871
6856,6855
6857,10871
7070,4300
7071,12683
7072,4300
7308,12683
7310,7341
5765,7121
5671,7120
8221,5591
8123,10844
8370,4704
8492,3047
8502,9582
8618,13028
4429,4115
8911,11255
10006,183
10283,13028
10296,6862
10300,4300
588,4238
589,4238
590,3283
7622,7212
10652,6399
10681,9346
10682,4332
10711,4300
10770,5367
10788,8266
11027,8243
11150,7302
11203,11616
11205,234
11214,4300
11384,7859
11480,8334
11486,11458
11488,245
11490,4300
11520,4332
11522,4300
11566,12470
11567,4238
11585,10157
11586,6235
11588,13028
11594,3437
11595,7452
11596,9601
11599,12223
11656,7862
11741,3922
11790,9649
11851,10802
11853,7341
11855,4899
11856,4736
11860,4704
11864,7857
11872,5350
11874,8221
11876,7663
11880,4238
11881,4704
11884,7663
11885,7663
11891,4238
11942,11837
11944,1860
11958,2015
11960,7120
11996,4327
12023,3666
12024,9601
12052,5912
12067,4329
12181,7132
12220,4114
12221,5591
12222,5591
12237,3295
12240,4708
12241,4704
12439,6668
12440,4302
12441,10876
12797,12593
12796,10794
12794,10833
12793,10833
12792,10864
12790,8499
12789,12606
12788,10794
12778,3666
12777,10833
12776,3295
12773,4300
12772,3081
12771,4327
12770,4327
12747,8949
12744,12846
12743,12846
12738,9140
12735,8886
4894,5330
5871,7341
6227,3295
7119,7120
7136,3295
8391,7121
9634,4858
9127,12683
9607,12683
1910,3756
2387,3295
2470,2471
11743,11742
8934,235
8938,9181
8948,10844
8949,8829
8829,3295
8957,11562
8990,6595
9004,11512
13677,5863
13661,12441
13659,10794
13658,3105
12822,6229
12825,4238
12833,5417
12918,11483
12928,11571
13576,10794
13574,13572
13573,13572
13572,10794
13571,10794
13570,10794
13569,7389
12937,12450
13565,7052
13563,5591
6805,3667
5388,9135
13530,9135
12984,11577
12998,3666
12999,3666
13499,4655
13497,7389
13498,10844
13503,7375
13501,13853
