synset_id,"link_type","tbl_name","description"
8670,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
234,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
235,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
236,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
237,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
238,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
238,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
239,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
240,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
242,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
242,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
243,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
243,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
244,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
244,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
245,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
245,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
246,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11392,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11434,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11483,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11482,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11481,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11478,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11490,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11479,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
588,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
589,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
590,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
591,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
592,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11571,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11566,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
8826,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1307,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1377,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1379,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1472,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1476,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1510,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1579,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1767,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1860,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1860,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1861,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1910,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
10987,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1911,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
1912,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2015,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2016,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2048,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11599,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
9552,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2152,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2229,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2269,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2270,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
9189,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2387,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2388,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2429,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2430,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2431,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2468,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2470,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2471,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
8707,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2528,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2530,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2531,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2532,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2532,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2533,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2534,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2540,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2541,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2557,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2563,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2666,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2715,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2820,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2875,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2882,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2884,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
13064,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2917,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
8821,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
2970,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
9090,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3023,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3047,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3080,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3081,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3105,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3128,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3129,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3130,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11370,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
9046,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
8874,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3283,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3286,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3295,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3296,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
8664,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
10641,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
9335,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3375,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
9344,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11431,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3430,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3432,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3433,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3434,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3435,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3436,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3437,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3438,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3448,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3457,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3476,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
12319,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
12319,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3486,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3489,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3491,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3498,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11972,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
9460,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3576,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3582,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
9534,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
9548,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
9554,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3651,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
11430,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3666,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3667,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3672,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
9660,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3721,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
3739,"onto_nodes","tbl_onto_nodes","Ontology Nodes"
